,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,601,['Cody'],['Robbie Random'],"2S, 2C, 8S, QH, 8C","{'Cody': Hand([Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""8"", ""Clubs"")]), 'Madi': Hand([Card(""5"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Clubs"")]), 'Michelle': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Clubs"")])}",0
1,673,['Cody'],['Robbie Random'],"7H, 4C, 6S, 3C, 5C","{'Cody': Hand([Card(""7"", ""Hearts""), Card(""4"", ""Clubs""), Card(""6"", ""Spades""), Card(""3"", ""Clubs""), Card(""5"", ""Clubs"")])}",1
2,3,['Cody'],['Robbie Random'],"JH, 7C, AS, AD, KH","{'Cody': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts"")])}",2
3,3,['Bob'],['Floyd Folds'],"5H, 10D, JH, AC, 5D","{'Bob': Hand([Card(""5"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""5"", ""Diamonds"")])}",3
4,3,['Cody'],['Robbie Random'],"4D, 5D, KH, KS, 7S","{'Cody': Hand([Card(""4"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Spades"")])}",4
5,3,['Bob'],['Floyd Folds'],"3C, AC, 3H, JS, 3S","{'Bob': Hand([Card(""3"", ""Clubs""), Card(""A"", ""Clubs""), Card(""3"", ""Hearts""), Card(""J"", ""Spades""), Card(""3"", ""Spades"")])}",5
6,3,['Cody'],['Robbie Random'],"3C, 8C, KC, 3D, 8D","{'Cody': Hand([Card(""3"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",6
7,3,['Bob'],['Floyd Folds'],"KS, 9H, KC, 7H, KH","{'Bob': Hand([Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Hearts"")])}",7
8,3,['Cody'],['Robbie Random'],"AC, 10C, 9H, 10D, 9S","{'Cody': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Clubs""), Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades"")])}",8
9,3,['Bob'],['Floyd Folds'],"9S, 7D, 5C, JD, QD","{'Bob': Hand([Card(""9"", ""Spades""), Card(""7"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",9
10,3,['Cody'],['Robbie Random'],"9S, 5H, 8H, AC, 7H","{'Cody': Hand([Card(""9"", ""Spades""), Card(""5"", ""Hearts""), Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""7"", ""Hearts"")])}",10
11,6,['Bob'],['Floyd Folds'],"AH, JC, QS, KH, 10S","{'Bob': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Spades"")])}",11
12,6,['Cody'],['Robbie Random'],"5S, 10C, 9S, 10H, QD","{'Cody': Hand([Card(""5"", ""Spades""), Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",12
13,6,['Cody'],['Robbie Random'],"8C, 10S, KH, 10H, AH","{'Cody': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts"")])}",13
14,6,['Cody'],['Robbie Random'],"3H, 3D, 8D, AH, 10C","{'Cody': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Clubs"")])}",14
15,6,['Cody'],['Robbie Random'],"QS, QD, 2D, 2H, QC","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""Q"", ""Clubs"")])}",15
16,6,['Cody'],['Robbie Random'],"JS, 8S, 9H, 7D, 10D","{'Cody': Hand([Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",16
17,76,['Cody'],['Robbie Random'],"3S, 3H, 8C, JC, JD","{'Cody': Hand([Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds"")])}",17
18,6,['Cody'],['Robbie Random'],"4H, 4C, AS, AC, 8S","{'Cody': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""8"", ""Spades"")])}",18
19,6,['Cody'],['Robbie Random'],"QD, 6S, 7D, 7S, QS","{'Cody': Hand([Card(""Q"", ""Diamonds""), Card(""6"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""Q"", ""Spades"")])}",19
20,6,['Cody'],['Robbie Random'],"8S, 5D, 6C, 7C, 4S","{'Cody': Hand([Card(""8"", ""Spades""), Card(""5"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""7"", ""Clubs""), Card(""4"", ""Spades"")])}",20
21,12,['Bob'],['Floyd Folds'],"JS, 7H, 6S, 6D, JC","{'Bob': Hand([Card(""J"", ""Spades""), Card(""7"", ""Hearts""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds""), Card(""J"", ""Clubs"")])}",21
22,12,['Cody'],['Robbie Random'],"7D, 7S, JS, 10S, JC","{'Cody': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Clubs"")])}",22
23,12,['Bob'],['Floyd Folds'],"JH, 9C, 10S, 8H, 5C","{'Bob': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""5"", ""Clubs"")])}",23
24,12,['Cody'],['Robbie Random'],"AD, 8S, QD, 7D, 9S","{'Cody': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""9"", ""Spades"")])}",24
25,12,['Cody'],['Robbie Random'],"QS, 5D, 5H, JH, 8S","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Spades"")])}",25
26,12,['Cody'],['Robbie Random'],"9C, QC, AD, QS, 7D","{'Cody': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""7"", ""Diamonds"")])}",26
27,190,['Cody'],['Robbie Random'],"2C, QC, 9C, 5C, JC","{'Cody': Hand([Card(""2"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""5"", ""Clubs""), Card(""J"", ""Clubs"")])}",27
28,12,['Cody'],['Robbie Random'],"KH, 8S, 4S, 6H, 8C","{'Cody': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""4"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Clubs"")])}",28
29,536,['Cody'],['Robbie Random'],"AH, JC, QH, 4S, 4D","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds"")])}",29
30,12,['Cody'],['Robbie Random'],"7S, 8D, AH, JS, KC","{'Cody': Hand([Card(""7"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Clubs"")])}",30
31,24,['Bob'],['Floyd Folds'],"10S, AD, QD, KD, JD","{'Bob': Hand([Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",31
32,24,['Cody'],['Robbie Random'],"QC, 4S, 9H, 4C, KH","{'Cody': Hand([Card(""Q"", ""Clubs""), Card(""4"", ""Spades""), Card(""9"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Hearts"")])}",32
33,638,['Cody'],['Robbie Random'],"AS, 10H, AH, 9D, 5H","{'Cody': Hand([Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""5"", ""Hearts"")])}",33
34,24,['Cody'],['Robbie Random'],"JD, KH, 2C, AH, 2H","{'Cody': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""2"", ""Clubs""), Card(""A"", ""Hearts""), Card(""2"", ""Hearts"")])}",34
