,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,433,['Sophia'],['Callie Calls'],"5S, 8C, 10S, AC, 8H","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""4"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""8"", ""Hearts"")])}",0
1,127,['Madi'],['Callie Calls'],"AH, 7C, 8C, 7D, 8H","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Hearts"")])}",1
2,203,['Michelle'],['Robbie Random'],"8C, 5C, 8H, AH, 5D","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""5"", ""Diamonds"")]), 'Michelle': Hand([Card(""8"", ""Clubs""), Card(""5"", ""Clubs""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""4"", ""Clubs"")])}",2
3,60,['Madi'],['Callie Calls'],"10D, 10S, KC, KS, 9H","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Hearts"")])}",3
4,6,['Madi'],['Callie Calls'],"10H, 9C, 10D, QD, AC","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Clubs"")])}",4
5,312,['Madi'],['Callie Calls'],"10D, 6H, 8H, 10C, 6C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Clubs""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Clubs""), Card(""6"", ""Clubs"")])}",5
6,8,['Madi'],['Callie Calls'],"9C, 9S, QD, AC, AH","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts"")])}",6
7,263,['Sophia'],['Callie Calls'],"6H, AS, AH, JC, 6C","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Clubs"")]), 'Michelle': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs"")])}",7
8,5,['Sophia'],['Callie Calls'],"JS, 10D, KC, 9C, JH","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""J"", ""Hearts"")])}",8
9,5,['Sophia'],['Callie Calls'],"3S, 10D, 3H, AH, 10S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""10"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Spades"")])}",9
