,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,353,['Sophia'],['Callie Calls'],"JC, 7H, JD, JS, 2S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""2"", ""Spades"")])}",0
1,259,['Michelle'],['Robbie Random'],"4H, 4S, 9D, 4C, 9C","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Michelle': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""9"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs"")])}",1
2,123,['Sophia'],['Callie Calls'],"AH, 8C, JD, 6H, QD","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",2
3,516,['Sophia'],['Callie Calls'],"KS, JD, 6S, 5H, QH","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Spades""), Card(""5"", ""Hearts""), Card(""Q"", ""Hearts"")])}",3
4,43,['Sophia'],['Callie Calls'],"10H, 10D, 3H, 3D, 9D","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",4
5,14,['Sophia'],['Callie Calls'],"JC, QS, 8C, AS, KS","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Spades"")])}",5
6,10,['Sophia'],['Callie Calls'],"9C, 6D, 10D, AH, KC","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs"")])}",6
7,5,['Sophia'],['Callie Calls'],"JH, 8H, KS, KH, 8C","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Clubs"")])}",7
8,6,['Sophia'],['Callie Calls'],"10H, 2S, 2H, AC, 10D","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Diamonds"")])}",8
9,57,['Sophia'],['Callie Calls'],"KC, 10C, QD, 6D, QS","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""Q"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"9H, 7C, 9D, 6H, 8D","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""8"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"7S, AS, 6C, 9C, 10S","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""A"", ""Spades""), Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"3H, AH, KD, 3D, AD","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"KC, 4H, 4D, JC, 10D","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"5S, JD, 6H, 8H, 5D","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""8"", ""Hearts""), Card(""5"", ""Diamonds"")])}",14
15,6,['Sophia'],['Callie Calls'],"KD, 10D, 7C, 7S, JH","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""J"", ""Hearts"")])}",15
16,6,['Sophia'],['Callie Calls'],"QH, AS, 6D, 8D, QD","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""6"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",16
17,6,['Sophia'],['Callie Calls'],"AD, KC, 6H, AS, JD","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"5S, 8D, 10S, 5D, AD","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Spades""), Card(""5"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",18
19,6,['Sophia'],['Callie Calls'],"4H, QD, JS, 4S, QH","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""4"", ""Spades""), Card(""Q"", ""Hearts"")])}",19
20,6,['Sophia'],['Callie Calls'],"9S, QD, 8D, JC, 10H","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts"")])}",20
21,12,['Sophia'],['Callie Calls'],"KH, 9H, 6C, AC, KD","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds"")])}",21
22,12,['Sophia'],['Callie Calls'],"KH, AH, 7H, 3H, 10H","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""7"", ""Hearts""), Card(""3"", ""Hearts""), Card(""10"", ""Hearts"")])}",22
23,12,['Sophia'],['Callie Calls'],"6D, QS, 6H, AC, AH","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""6"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts"")])}",23
24,12,['Sophia'],['Callie Calls'],"7H, JS, 9C, 8S, 10H","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""10"", ""Hearts"")])}",24
25,12,['Sophia'],['Callie Calls'],"8D, JC, 4C, 4D, JS","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""4"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""J"", ""Spades"")])}",25
