,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,489,['Sophia'],['Callie Calls'],"4C, 10C, AD, 9S, 4H","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""10"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""4"", ""Hearts"")])}",0
1,17,['Sophia'],['Callie Calls'],"2S, 2D, AD, KH, QD","{'Sophia': Hand([Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",1
2,189,['Sophia'],['Callie Calls'],"2H, 5S, 5C, 2S, 10C","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""2"", ""Spades""), Card(""10"", ""Clubs"")])}",2
3,23,['Sophia'],['Callie Calls'],"AC, JS, 8C, 8S, QD","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Diamonds"")])}",3
4,8,['Sophia'],['Callie Calls'],"7H, KS, 7S, 5H, QD","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Spades""), Card(""5"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",4
5,171,['Sophia'],['Callie Calls'],"2H, 10H, KH, 2D, AH","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""A"", ""Hearts"")])}",5
6,6,['Sophia'],['Callie Calls'],"8S, 6H, AC, AS, 6S","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""6"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"10C, 10H, JS, 6C, 8S","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"6D, 10D, JC, 10C, 9H","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""10"", ""Clubs""), Card(""9"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"AC, KD, AS, JD, JH","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"7D, KH, KD, 7H, 10S","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Spades"")])}",10
