,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,502,['Steve'],['Robbie Random'],"2H, 8H, AD, 8C, 2D","{'Madi': Hand([Card(""9"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Spades"")]), 'Michelle': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Spades"")]), 'Steve': Hand([Card(""2"", ""Hearts""), Card(""8"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Spades"")])}",0
1,640,['Steve'],['Robbie Random'],"10D, 8S, KS, 10S, 8C","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Steve': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds"")])}",1
2,12,['Alice'],['Ricky Raise'],"JD, 9D, KS, KD, AH","{'Alice': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""A"", ""Hearts"")])}",2
3,59,['Steve'],['Robbie Random'],"6H, 10S, 6S, 9D, KD","{'Steve': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Spades""), Card(""6"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",3
4,7,['Steve'],['Robbie Random'],"2C, QS, KD, 2H, 6D","{'Steve': Hand([Card(""2"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""6"", ""Diamonds"")])}",4
5,7,['Cody'],['Robbie Random'],"KS, 9C, 7H, 10D, 6C","{'Cody': Hand([Card(""K"", ""Spades""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs"")])}",5
6,336,['Cody'],['Robbie Random'],"3H, 3C, 10D, 3D, 10S","{'Cody': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""10"", ""Spades"")])}",6
7,6,['Cody'],['Robbie Random'],"7S, 10H, JH, QS, 9D","{'Cody': Hand([Card(""7"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades""), Card(""9"", ""Diamonds"")])}",7
8,3,['Steve'],['Robbie Random'],"AH, 5C, QD, KC, JS","{'Steve': Hand([Card(""A"", ""Hearts""), Card(""5"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Spades"")])}",8
9,446,['Steve'],['Robbie Random'],"5D, JC, 5H, AD, AC","{'Steve': Hand([Card(""5"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""A"", ""Clubs"")])}",9
10,196,['Steve'],['Robbie Random'],"7D, 7C, 10S, KD, 10D","{'Steve': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",10
11,69,['Cody'],['Robbie Random'],"KD, 8H, 5C, AC, 10H","{'Cody': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""5"", ""Clubs""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts"")])}",11
12,126,['Cody'],['Robbie Random'],"10H, 9S, 7S, 10D, AC","{'Cody': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Clubs"")])}",12
13,208,['Cody'],['Robbie Random'],"6D, 10C, 5D, 8C, 8D","{'Cody': Hand([Card(""6"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds"")])}",13
14,29,['Cody'],['Robbie Random'],"9H, 10D, 10S, 7S, JH","{'Cody': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Hearts"")])}",14
15,41,['Steve'],['Robbie Random'],"10S, 6C, 6S, KD, KC","{'Steve': Hand([Card(""10"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs"")])}",15
16,8,['Steve'],['Robbie Random'],"8C, JS, KS, 9S, 5H","{'Steve': Hand([Card(""8"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""9"", ""Spades""), Card(""5"", ""Hearts"")])}",16
17,6,['Steve'],['Robbie Random'],"6S, KC, 10S, 9D, 8S","{'Steve': Hand([Card(""6"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Spades"")])}",17
18,27,['Cody'],['Robbie Random'],"8D, KH, 8S, JH, KS","{'Cody': Hand([Card(""8"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Spades"")])}",18
19,6,['Cody'],['Robbie Random'],"JD, AD, KD, 8H, 9D","{'Cody': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds"")])}",19
20,6,['Cody'],['Robbie Random'],"QD, QC, 4S, 7S, JD","{'Cody': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds"")])}",20
21,708,['Steve'],['Robbie Random'],"JC, KD, QC, AH, AS","{'Steve': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Spades"")])}",21
22,12,['Steve'],['Robbie Random'],"9S, 6C, 6D, AD, AS","{'Steve': Hand([Card(""9"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades"")])}",22
23,12,['Steve'],['Robbie Random'],"4C, AS, 4H, 6D, JS","{'Steve': Hand([Card(""4"", ""Clubs""), Card(""A"", ""Spades""), Card(""4"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""J"", ""Spades"")])}",23
24,12,['Bob'],['Floyd Folds'],"2H, KD, 2S, 2D, 6S","{'Bob': Hand([Card(""2"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""6"", ""Spades"")])}",24
25,12,['Steve'],['Robbie Random'],"7H, JC, QD, 7C, 8D","{'Steve': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds"")])}",25
26,12,['Steve'],['Robbie Random'],"9S, 6D, 10H, 7D, QH","{'Steve': Hand([Card(""9"", ""Spades""), Card(""6"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",26
27,12,['Steve'],['Robbie Random'],"10C, 2C, KC, 2H, 10D","{'Steve': Hand([Card(""10"", ""Clubs""), Card(""2"", ""Clubs""), Card(""K"", ""Clubs""), Card(""2"", ""Hearts""), Card(""10"", ""Diamonds"")])}",27
28,12,['Steve'],['Robbie Random'],"AC, 7H, AS, KD, QS","{'Steve': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades"")])}",28
29,12,['Steve'],['Robbie Random'],"7H, 8D, 10D, JH, KD","{'Steve': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds"")])}",29
30,12,['Steve'],['Robbie Random'],"3H, 9H, 9C, AH, 3S","{'Steve': Hand([Card(""3"", ""Hearts""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""3"", ""Spades"")])}",30
31,24,['Steve'],['Robbie Random'],"QS, 4S, 9S, 10S, 5S","{'Steve': Hand([Card(""Q"", ""Spades""), Card(""4"", ""Spades""), Card(""9"", ""Spades""), Card(""10"", ""Spades""), Card(""5"", ""Spades"")])}",31
