,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,503,['Steve'],['Robbie Random'],"QH, AS, QC, 3H, 3C","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Clubs"")]), 'Steve': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""8"", ""Diamonds"")])}",0
1,586,['Cody'],['Robbie Random'],"10C, KS, KC, 9H, 8H","{'Cody': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts"")])}",1
2,73,['Steve'],['Robbie Random'],"3H, QC, KD, 3S, 9S","{'Steve': Hand([Card(""3"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""3"", ""Spades""), Card(""9"", ""Spades"")])}",2
3,57,['Steve'],['Robbie Random'],"QH, AH, QD, 7H, 6C","{'Steve': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""6"", ""Clubs"")])}",3
4,462,['Steve'],['Robbie Random'],"KC, JD, JS, 6S, 7S","{'Steve': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""7"", ""Spades"")])}",4
5,277,['Steve'],['Robbie Random'],"QC, 10C, QS, AS, 8H","{'Steve': Hand([Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""8"", ""Hearts"")])}",5
6,228,['Cody'],['Robbie Random'],"4H, 10S, 5H, 7D, 10D","{'Cody': Hand([Card(""4"", ""Hearts""), Card(""10"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",6
7,398,['Steve'],['Robbie Random'],"KH, AS, 9S, JH, 8D","{'Steve': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds"")])}",7
8,3,['Steve'],['Robbie Random'],"AC, QD, AH, AS, QS","{'Steve': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Spades"")])}",8
9,4,['Cody'],['Robbie Random'],"JS, AC, KD, AD, 9C","{'Cody': Hand([Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs"")])}",9
10,330,['Steve'],['Robbie Random'],"QH, 10H, 10C, JD, AH","{'Steve': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts"")])}",10
11,288,['Steve'],['Robbie Random'],"KC, AC, 7D, 10S, KD","{'Steve': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds"")])}",11
12,6,['Steve'],['Robbie Random'],"QD, QH, KD, KH, 9C","{'Steve': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Clubs"")])}",12
13,490,['Steve'],['Robbie Random'],"AS, 10S, 10H, 2H, 2D","{'Steve': Hand([Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""2"", ""Hearts""), Card(""2"", ""Diamonds"")])}",13
14,6,['Bob'],['Floyd Folds'],"AH, 9S, QC, 7S, AD","{'Bob': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Clubs""), Card(""7"", ""Spades""), Card(""A"", ""Diamonds"")])}",14
15,6,['Steve'],['Robbie Random'],"KH, KC, 8C, 10H, AD","{'Steve': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds"")])}",15
16,255,['Steve'],['Robbie Random'],"7S, 10H, 7D, QC, JH","{'Steve': Hand([Card(""7"", ""Spades""), Card(""10"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Hearts"")])}",16
17,6,['Steve'],['Robbie Random'],"JC, 6D, 7D, 10S, 10D","{'Steve': Hand([Card(""J"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds"")])}",17
18,317,['Steve'],['Robbie Random'],"KD, 6D, QH, AS, 9C","{'Steve': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Clubs"")])}",18
19,6,['Steve'],['Robbie Random'],"3D, 3S, AC, AH, KD","{'Steve': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Diamonds"")])}",19
20,379,['Steve'],['Robbie Random'],"10C, AD, 10H, 5H, 5C","{'Steve': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""5"", ""Hearts""), Card(""5"", ""Clubs"")])}",20
21,12,['Steve'],['Robbie Random'],"7C, 4D, 4S, 7H, 7S","{'Steve': Hand([Card(""7"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Spades"")])}",21
22,97,['Steve'],['Robbie Random'],"8C, 7D, JC, 5S, QC","{'Steve': Hand([Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""5"", ""Spades""), Card(""Q"", ""Clubs"")])}",22
23,12,['Steve'],['Robbie Random'],"JH, 5C, 8H, KC, AS","{'Steve': Hand([Card(""J"", ""Hearts""), Card(""5"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Spades"")])}",23
24,89,['Steve'],['Robbie Random'],"7S, QH, 10S, KC, KH","{'Steve': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts"")])}",24
25,12,['Steve'],['Robbie Random'],"AS, 9S, 8D, 8C, JC","{'Steve': Hand([Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs"")])}",25
26,12,['Steve'],['Robbie Random'],"9H, 9S, 10D, KS, KH","{'Steve': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Hearts"")])}",26
27,12,['Steve'],['Robbie Random'],"2H, QD, 8H, KC, 2C","{'Steve': Hand([Card(""2"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""2"", ""Clubs"")])}",27
28,12,['Steve'],['Robbie Random'],"KD, 2S, AD, AC, 2C","{'Steve': Hand([Card(""K"", ""Diamonds""), Card(""2"", ""Spades""), Card(""A"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""2"", ""Clubs"")])}",28
29,12,['Steve'],['Robbie Random'],"QC, 7S, 9S, 6S, AC","{'Steve': Hand([Card(""Q"", ""Clubs""), Card(""7"", ""Spades""), Card(""9"", ""Spades""), Card(""6"", ""Spades""), Card(""A"", ""Clubs"")])}",29
30,12,['Bob'],['Floyd Folds'],"9D, AH, AD, QC, KC","{'Bob': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs"")])}",30
31,24,['Steve'],['Robbie Random'],"KH, 9C, 7S, 6D, 10D","{'Steve': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Spades""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",31
