,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,439,['Sophia'],['Callie Calls'],"2H, 4H, 3C, AS, 5S","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""5"", ""Spades"")]), 'Michelle': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""2"", ""Hearts""), Card(""4"", ""Hearts""), Card(""3"", ""Clubs""), Card(""A"", ""Spades""), Card(""5"", ""Spades"")])}",0
1,106,['Madi'],['Callie Calls'],"AS, KH, JS, KS, AC","{'Madi': Hand([Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Clubs"")])}",1
2,8,['Madi'],['Callie Calls'],"6S, 9S, 4S, AS, 10S","{'Madi': Hand([Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""4"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""2"", ""Clubs"")])}",2
3,8,['Sophia'],['Callie Calls'],"2D, 2H, JS, KC, 10C","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Clubs"")])}",3
4,88,['Sophia'],['Callie Calls'],"7C, JD, 10C, QC, JH","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Hearts"")])}",4
5,140,['Madi'],['Callie Calls'],"JS, 10H, 10S, 7D, 7C","{'Madi': Hand([Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Hearts"")])}",5
6,7,['Madi'],['Callie Calls'],"KD, KC, KH, JD, 8H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts"")])}",6
7,5,['Sophia'],['Callie Calls'],"JD, 9D, 10S, KC, 9S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Spades"")])}",7
8,180,['Sophia'],['Callie Calls'],"JH, AH, 10S, JS, 10H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Hearts"")])}",8
9,21,['Cody'],['Robbie Random'],"AD, AS, QD, KS, 10H","{'Cody': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Hearts"")]), 'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Hearts"")])}",9
