,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,597,['Madi'],['Callie Calls'],"5D, 6S, AD, 6D, 5C","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""6"", ""Spades""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""9"", ""Hearts"")])}",0
1,179,['Michelle'],['Robbie Random'],"7D, 4D, 9S, 4H, JC","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""2"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Clubs"")]), 'Michelle': Hand([Card(""7"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""9"", ""Spades""), Card(""4"", ""Hearts""), Card(""J"", ""Clubs"")])}",1
2,3,['Madi'],['Callie Calls'],"QD, 9D, 2D, 6S, 2C","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""6"", ""Spades""), Card(""2"", ""Clubs"")])}",2
3,6,['Madi'],['Callie Calls'],"6D, AH, 10S, 5S, 7H","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""5"", ""Spades""), Card(""7"", ""Hearts"")])}",3
4,3,['Madi'],['Callie Calls'],"9C, AH, JS, KC, KD","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Diamonds"")])}",4
5,312,['Madi'],['Callie Calls'],"10S, 9H, 7D, 10D, 7H","{'Madi': Hand([Card(""10"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""7"", ""Hearts"")])}",5
6,6,['Madi'],['Callie Calls'],"6C, 10H, 9S, JD, QD","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",6
7,29,['Madi'],['Callie Calls'],"7D, QD, 6D, AD, 5D","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",7
8,22,['Madi'],['Callie Calls'],"3C, QD, 3H, 9S, KS","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""9"", ""Spades""), Card(""K"", ""Spades"")])}",8
9,8,['Madi'],['Callie Calls'],"9S, 6S, 8H, 5H, JH","{'Madi': Hand([Card(""9"", ""Spades""), Card(""6"", ""Spades""), Card(""8"", ""Hearts""), Card(""5"", ""Hearts""), Card(""J"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"8H, 5S, 8C, 5C, QS","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""5"", ""Spades""), Card(""8"", ""Clubs""), Card(""5"", ""Clubs""), Card(""Q"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"JS, KD, 10H, 10S, KC","{'Madi': Hand([Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""K"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"JD, 9D, 9C, JC, 7C","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""7"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"4D, 10S, 9H, 4H, KH","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""10"", ""Spades""), Card(""9"", ""Hearts""), Card(""4"", ""Hearts""), Card(""K"", ""Hearts"")])}",13
14,6,['Madi'],['Callie Calls'],"8H, 7C, 9D, 8D, QC","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"6D, JD, 7D, AD, 9C","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"QC, AC, KD, 7D, 5H","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""5"", ""Hearts"")])}",16
17,6,['Madi'],['Callie Calls'],"AH, AS, JS, JD, 7H","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"5C, JS, AS, 5H, JH","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""5"", ""Hearts""), Card(""J"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"3S, 4C, KD, 4D, 3D","{'Madi': Hand([Card(""3"", ""Spades""), Card(""4"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""3"", ""Diamonds"")])}",19
20,6,['Madi'],['Callie Calls'],"8C, KH, 4C, QC, 10C","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Hearts""), Card(""4"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs"")])}",20
21,12,['Madi'],['Callie Calls'],"AC, 4H, 9D, 7S, 4S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""4"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades""), Card(""4"", ""Spades"")])}",21
22,12,['Madi'],['Callie Calls'],"QC, 7C, 7D, 7S, 8H","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Hearts"")])}",22
