,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,675,['Madi'],['Callie Calls'],"3D, 9S, QS, 3S, 9D","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""3"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Steve': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""6"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""6"", ""Hearts""), Card(""9"", ""Diamonds"")])}",0
1,31,['Madi'],['Callie Calls'],"KS, JD, QD, 10C, JH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""J"", ""Hearts"")])}",1
2,12,['Madi'],['Callie Calls'],"8D, 7S, 7D, 9D, 8C","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Clubs"")])}",2
3,8,['Madi'],['Callie Calls'],"KC, 3S, KD, 3H, AS","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""3"", ""Spades""), Card(""K"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""A"", ""Spades"")])}",3
4,3,['Madi'],['Callie Calls'],"KD, AD, JC, 9H, QD","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",4
5,3,['Madi'],['Callie Calls'],"6C, 9S, 4D, 10H, QC","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Spades""), Card(""4"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"QS, 5H, 7D, 9S, AD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds"")])}",6
7,3,['Madi'],['Callie Calls'],"7H, 7C, 9S, 4S, QD","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""9"", ""Spades""), Card(""4"", ""Spades""), Card(""Q"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"6C, 9H, 8D, 6H, JS","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"5H, 5C, AH, 10D, AS","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""A"", ""Spades"")])}",9
10,3,['Madi'],['Callie Calls'],"5H, 6D, AD, JC, 5S","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""5"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"3S, 10D, 3C, 5H, 8C","{'Madi': Hand([Card(""3"", ""Spades""), Card(""10"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""5"", ""Hearts""), Card(""8"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"JD, 6S, 6H, JH, AC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"KD, 10S, 8H, 7C, 7D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"JC, AS, 7H, 8C, KC","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Hearts""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"QD, 10C, 2C, KH, 2D","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""2"", ""Clubs""), Card(""K"", ""Hearts""), Card(""2"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"8D, 4S, 4C, 7D, 6C","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""6"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"7D, 6C, 8S, 8H, 4C","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""8"", ""Spades""), Card(""8"", ""Hearts""), Card(""4"", ""Clubs"")])}",17
18,6,['Madi'],['Callie Calls'],"AH, 8S, 10H, 10S, JD","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds"")])}",18
19,6,['Madi'],['Callie Calls'],"9S, 5H, QH, QS, 9C","{'Madi': Hand([Card(""9"", ""Spades""), Card(""5"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""9"", ""Clubs"")])}",19
