,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,566,['Madi'],['Callie Calls'],"KH, 8D, AD, KD, 7H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""7"", ""Hearts"")]), 'Michelle': Hand([Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""4"", ""Spades""), Card(""7"", ""Hearts"")])}",0
1,123,['Madi'],['Callie Calls'],"6H, 10S, 10D, AH, 6C","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""6"", ""Clubs"")])}",1
2,42,['Madi'],['Callie Calls'],"8H, 2H, 9C, 2C, JH","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""2"", ""Hearts""), Card(""9"", ""Clubs""), Card(""2"", ""Clubs""), Card(""J"", ""Hearts"")])}",2
3,28,['Madi'],['Callie Calls'],"8D, 5C, QD, 8H, 5H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""5"", ""Hearts"")])}",3
4,25,['Madi'],['Callie Calls'],"2C, 10C, QC, 2S, QH","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""2"", ""Spades""), Card(""Q"", ""Hearts"")])}",4
5,7,['Madi'],['Callie Calls'],"JS, QH, 4D, 8C, 4H","{'Madi': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""4"", ""Hearts"")]), 'Steve': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""4"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"JH, 5H, 8H, AH, 9H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""5"", ""Hearts""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"4D, KC, 10H, 5C, 8S","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""5"", ""Clubs""), Card(""8"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"7D, 9S, 7C, 2C, 2H","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Spades""), Card(""7"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"KS, 6S, KC, 9C, 9S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Spades"")])}",9
10,3,['Madi'],['Callie Calls'],"10D, 6D, 6S, 10C, 6C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""6"", ""Spades""), Card(""10"", ""Clubs""), Card(""6"", ""Clubs"")])}",10
11,6,['Madi'],['Callie Calls'],"3D, KH, 3S, 8S, AS","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""3"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"4C, 2H, 4D, 4S, 2S","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""2"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""2"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"AD, 5H, 8H, 5S, 10D","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""8"", ""Hearts""), Card(""5"", ""Spades""), Card(""10"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"10D, 2H, JH, 2D, KH","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""J"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""K"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"5H, AC, 8C, JD, 5D","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""A"", ""Clubs""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"2H, JH, 2C, 10C, KC","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""J"", ""Hearts""), Card(""2"", ""Clubs""), Card(""10"", ""Clubs""), Card(""K"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"JH, JS, 6S, 3H, 3D","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds"")])}",17
18,6,['Madi'],['Callie Calls'],"6D, 9D, JD, 5D, QD","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",18
19,6,['Madi'],['Callie Calls'],"AC, 8S, AD, 10D, 9D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",19
20,6,['Madi'],['Callie Calls'],"JH, 7C, JC, 9D, AH","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""A"", ""Hearts"")])}",20
21,12,['Madi'],['Callie Calls'],"QS, 10D, JD, 10S, QD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades""), Card(""Q"", ""Diamonds"")])}",21
22,12,['Madi'],['Callie Calls'],"9D, AD, 10H, 7H, 9H","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Hearts""), Card(""9"", ""Hearts"")])}",22
