,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,502,['Sophia'],['Callie Calls'],"6S, 4D, 3S, 5D, 2D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""4"", ""Diamonds""), Card(""3"", ""Spades""), Card(""5"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",0
1,183,['Michelle'],['Robbie Random'],"AS, 8D, 6C, 6S, AD","{'Michelle': Hand([Card(""A"", ""Spades""), Card(""8"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""4"", ""Clubs""), Card(""A"", ""Diamonds"")])}",1
2,403,['Cody'],['Robbie Random'],"KD, KS, 10H, 10C, QH","{'Cody': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""Q"", ""Hearts"")])}",2
3,689,['Sophia'],['Callie Calls'],"10S, 10C, 10H, 3D, AS","{'Cody': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Spades"")]), 'Michelle': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""A"", ""Spades"")])}",3
4,17,['Cody'],['Robbie Random'],"6S, JD, 10C, 8C, KD","{'Cody': Hand([Card(""6"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Diamonds"")])}",4
5,44,['Sophia'],['Callie Calls'],"AS, 5C, 5S, QS, KH","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"JS, 10D, JH, 4S, JD","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""4"", ""Spades""), Card(""J"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"4S, 4H, AC, KD, AS","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"KH, 6H, QC, KS, 5S","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""5"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"7D, QC, 7S, KS, KC","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Spades""), Card(""K"", ""Spades""), Card(""K"", ""Clubs"")])}",9
