,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,471,['Madi'],['Callie Calls'],"8H, AS, 8C, QD, QH","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Spades""), Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",0
1,294,['Steve'],['Robbie Random'],"AD, 9H, QD, QC, 10D","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Steve': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Diamonds"")])}",1
2,41,['Madi'],['Callie Calls'],"5D, 6D, 2C, 4S, 3D","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""4"", ""Spades""), Card(""3"", ""Diamonds"")])}",2
3,351,['Madi'],['Callie Calls'],"QC, 2C, JH, KC, 2S","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""2"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""2"", ""Spades"")])}",3
4,202,"['Madi', 'Steve']","['Callie Calls', 'Robbie Random']","9C, JC, 10C, 7D, 8S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades"")]), 'Steve': Hand([Card(""9"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""J"", ""Diamonds"")])}",4
5,3,['Madi'],['Callie Calls'],"AC, 7S, 8H, 10H, AS","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Spades""), Card(""8"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Spades"")])}",5
6,222,['Madi'],['Callie Calls'],"10H, 10S, AD, 5S, 5H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Hearts"")]), 'Steve': Hand([Card(""9"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"AC, AH, 6H, JS, 6S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""J"", ""Spades""), Card(""6"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"AS, 7C, AD, JS, KH","{'Madi': Hand([Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"10C, 9H, AH, 10D, 6H","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""6"", ""Hearts"")])}",9
