,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,559,['Sophia'],['Callie Calls'],"4S, 4D, 4H, 10D, 8D","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""10"", ""Spades""), Card(""4"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",0
1,68,['Sophia'],['Callie Calls'],"AS, 9D, 9H, KS, AC","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Clubs"")])}",1
2,19,['Michelle'],['Robbie Random'],"KS, 5C, QS, QD, 7D","{'Michelle': Hand([Card(""K"", ""Spades""), Card(""5"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",2
3,3,['Sophia'],['Callie Calls'],"6C, 9C, QS, 7S, JS","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Spades"")])}",3
4,72,['Sophia'],['Callie Calls'],"5S, 5D, AC, 5C, 4D","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""5"", ""Clubs""), Card(""4"", ""Diamonds"")])}",4
5,5,['Sophia'],['Callie Calls'],"JC, JD, AD, 9S, 10H","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"8S, AS, 8C, AH, 9S","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""8"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Spades"")])}",6
7,4,['Sophia'],['Callie Calls'],"3C, QS, QH, 3H, 3S","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""3"", ""Hearts""), Card(""3"", ""Spades"")])}",7
8,99,['Sophia'],['Callie Calls'],"QH, AH, 10H, 5H, 9H","{'Michelle': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""5"", ""Hearts""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""5"", ""Hearts""), Card(""9"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"9D, QH, 7S, 8H, AH","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""7"", ""Spades""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts"")])}",9
