,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,573,['Michelle'],['Robbie Random'],"7H, 7C, JS, 7D, JH","{'Madi': Hand([Card(""7"", ""Spades""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Michelle': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts"")])}",0
1,45,['Cody'],['Robbie Random'],"10C, 7H, 7D, KS, KH","{'Cody': Hand([Card(""10"", ""Clubs""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Hearts"")])}",1
2,463,['Michelle'],['Robbie Random'],"KH, 5C, QS, 5S, 9H","{'Michelle': Hand([Card(""K"", ""Hearts""), Card(""5"", ""Clubs""), Card(""Q"", ""Spades""), Card(""5"", ""Spades""), Card(""9"", ""Hearts"")])}",2
3,382,['Michelle'],['Robbie Random'],"6S, 6H, 9S, JD, QC","{'Michelle': Hand([Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",3
4,23,['Michelle'],['Robbie Random'],"JD, 8C, QC, 8S, AC","{'Michelle': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Clubs"")])}",4
5,3,['Bob'],['Floyd Folds'],"2S, 2D, KS, KD, 9H","{'Bob': Hand([Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""9"", ""Hearts"")])}",5
6,3,['Cody'],['Robbie Random'],"AS, 2C, QC, KD, 2D","{'Cody': Hand([Card(""A"", ""Spades""), Card(""2"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",6
7,3,['Michelle'],['Robbie Random'],"JH, 10H, QH, 6C, AS","{'Michelle': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Spades"")])}",7
8,693,['Cody'],['Robbie Random'],"AH, 3C, 6C, QC, 3H","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""3"", ""Clubs""), Card(""6"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""3"", ""Hearts"")])}",8
9,3,['Cody'],['Robbie Random'],"JS, AD, 9H, 10D, 10H","{'Cody': Hand([Card(""J"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts"")])}",9
10,3,['Michelle'],['Robbie Random'],"KD, 8D, 6H, 9D, QH","{'Michelle': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",10
11,446,['Michelle'],['Robbie Random'],"3S, KD, 3H, JS, 10H","{'Michelle': Hand([Card(""3"", ""Spades""), Card(""K"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Hearts"")])}",11
12,444,['Michelle'],['Robbie Random'],"9H, 8S, 9S, AD, AH","{'Michelle': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts"")])}",12
13,687,['Michelle'],['Robbie Random'],"QD, KC, 7D, 10C, KH","{'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts"")])}",13
14,6,['Michelle'],['Robbie Random'],"8D, 3D, 6D, 10D, AD","{'Michelle': Hand([Card(""8"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",14
15,6,['Bob'],['Floyd Folds'],"JD, 10D, KD, 8H, QH","{'Bob': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""Q"", ""Hearts"")])}",15
16,6,['Michelle'],['Robbie Random'],"KD, 3S, 6C, 6D, 3C","{'Michelle': Hand([Card(""K"", ""Diamonds""), Card(""3"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""3"", ""Clubs"")])}",16
17,6,['Michelle'],['Robbie Random'],"5C, KS, 10D, KC, 5S","{'Michelle': Hand([Card(""5"", ""Clubs""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Spades"")])}",17
18,6,['Michelle'],['Robbie Random'],"AC, 10S, 6H, QD, 6S","{'Michelle': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""6"", ""Spades"")])}",18
19,689,['Michelle'],['Robbie Random'],"QD, 8H, AC, 7D, 6S","{'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades"")])}",19
20,6,['Michelle'],['Robbie Random'],"QD, QS, KC, 8H, 8D","{'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds"")])}",20
21,12,['Bob'],['Floyd Folds'],"4H, 4D, 10H, 9S, AC","{'Bob': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""A"", ""Clubs"")])}",21
22,12,['Michelle'],['Robbie Random'],"9C, 9H, 9D, 6H, 6S","{'Michelle': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""6"", ""Spades"")])}",22
23,364,['Michelle'],['Robbie Random'],"4C, 4D, KD, 7C, 10S","{'Michelle': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""10"", ""Spades"")])}",23
24,12,['Michelle'],['Robbie Random'],"KH, 7C, QS, 9H, JC","{'Michelle': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Clubs"")])}",24
25,12,['Michelle'],['Robbie Random'],"6D, 3S, 3D, 3C, 6C","{'Michelle': Hand([Card(""6"", ""Diamonds""), Card(""3"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""6"", ""Clubs"")])}",25
26,12,['Michelle'],['Robbie Random'],"8S, 9C, 9S, 8C, 9D","{'Michelle': Hand([Card(""8"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds"")])}",26
27,114,['Michelle'],['Robbie Random'],"KH, QC, KS, QS, QD","{'Michelle': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds"")])}",27
28,12,['Michelle'],['Robbie Random'],"QS, 3S, AD, QC, 3D","{'Michelle': Hand([Card(""Q"", ""Spades""), Card(""3"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""3"", ""Diamonds"")])}",28
29,699,['Michelle'],['Robbie Random'],"6C, 6D, 2S, 2D, KD","{'Michelle': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",29
30,12,['Michelle'],['Robbie Random'],"JD, 6D, 10S, 8C, 9H","{'Michelle': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts"")])}",30
31,24,['Bob'],['Floyd Folds'],"5S, 5D, 6H, JH, 6S","{'Bob': Hand([Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts""), Card(""6"", ""Spades"")])}",31
32,24,['Michelle'],['Robbie Random'],"10H, 8S, KS, 8D, 10C","{'Michelle': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Clubs"")])}",32
33,725,['Michelle'],['Robbie Random'],"3H, 8C, QS, 3S, 7D","{'Michelle': Hand([Card(""3"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Spades""), Card(""3"", ""Spades""), Card(""7"", ""Diamonds"")])}",33
