,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,431,['Madi'],['Callie Calls'],"JC, 7S, 10H, 8C, 9C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs""), Card(""6"", ""Clubs"")])}",0
1,60,['Madi'],['Callie Calls'],"QC, 9D, 8S, JS, 10S","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Spades"")])}",1
2,267,['Michelle'],['Robbie Random'],"5H, JS, JC, 5S, KC","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""Q"", ""Clubs"")]), 'Michelle': Hand([Card(""5"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""5"", ""Spades""), Card(""K"", ""Clubs"")])}",2
3,201,['Madi'],['Callie Calls'],"6H, AS, 9S, QC, QD","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",3
4,16,['Madi'],['Callie Calls'],"8S, 3H, AC, 3C, 8C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""3"", ""Hearts""), Card(""A"", ""Clubs""), Card(""3"", ""Clubs""), Card(""8"", ""Clubs"")])}",4
5,315,['Steve'],['Robbie Random'],"JC, 8C, JD, JS, 7D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds"")]), 'Michelle': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""7"", ""Diamonds"")]), 'Steve': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds"")])}",5
6,537,['Madi'],['Callie Calls'],"KH, 3S, QC, AH, 3C","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""3"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""3"", ""Clubs"")])}",6
7,91,['Madi'],['Callie Calls'],"8H, QD, 9C, 8C, 9H","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts"")])}",7
8,14,['Madi'],['Callie Calls'],"3D, 10C, 3S, 6S, KS","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""3"", ""Spades""), Card(""6"", ""Spades""), Card(""K"", ""Spades"")])}",8
9,7,['Steve'],['Robbie Random'],"4H, 4S, KH, QH, AC","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Steve': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")])}",9
10,4,['Madi'],['Callie Calls'],"3C, AH, 3D, 4C, 3S","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""A"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""3"", ""Spades"")])}",10
11,14,['Steve'],['Robbie Random'],"KS, 8H, 8D, 9H, JD","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""J"", ""Diamonds"")]), 'Steve': Hand([Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""J"", ""Diamonds"")])}",11
12,6,['Madi'],['Callie Calls'],"10H, AH, 7D, JC, 10C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""10"", ""Clubs"")])}",12
