,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,404,['Sophia'],['Callie Calls'],"4C, AH, 4D, QS, 9C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""A"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Clubs"")])}",0
1,251,['Sophia'],['Callie Calls'],"9D, 2D, 9H, 2H, 2C","{'Cody': Hand([Card(""J"", ""Spades""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""2"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs"")])}",1
2,32,['Sophia'],['Callie Calls'],"QC, KC, AS, JC, AD","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds"")])}",2
3,23,['Sophia'],['Callie Calls'],"QC, KH, 8C, AC, 7S","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""7"", ""Spades"")])}",3
4,3,['Sophia'],['Callie Calls'],"8D, 9D, 8H, JS, KS","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"JS, 5H, 7H, JH, 4H","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts""), Card(""4"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"6C, AC, 4C, 8H, 10D","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Clubs""), Card(""4"", ""Clubs""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"9C, AS, 7H, 7C, AC","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"AS, 5S, 7D, JC, QC","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""5"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"2H, 2S, AC, 10D, AH","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts"")])}",9
