,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,419,['Sophia'],['Callie Calls'],"2S, 6D, JC, 2C, JS","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""2"", ""Spades""), Card(""6"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""2"", ""Clubs""), Card(""J"", ""Spades"")])}",0
1,248,['Cody'],['Robbie Random'],"5C, 4H, 3H, 2D, 6H","{'Cody': Hand([Card(""5"", ""Clubs""), Card(""4"", ""Hearts""), Card(""3"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""7"", ""Hearts""), Card(""6"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Hearts"")])}",1
2,125,['Sophia'],['Callie Calls'],"KD, 8S, 8H, AS, AC","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Spades""), Card(""8"", ""Hearts""), Card(""A"", ""Spades""), Card(""A"", ""Clubs"")])}",2
3,3,['Sophia'],['Callie Calls'],"10D, JS, 10H, AD, 7S","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Spades"")])}",3
4,20,['Sophia'],['Callie Calls'],"KS, JH, 8C, AS, KC","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Clubs"")])}",4
5,7,['Sophia'],['Callie Calls'],"KH, 6S, 6D, AS, QC","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs"")])}",5
6,6,['Sophia'],['Callie Calls'],"7H, KH, KS, 7C, QD","{'Cody': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",6
7,14,['Sophia'],['Callie Calls'],"9H, 7H, 6D, 5C, 8D","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""8"", ""Diamonds"")])}",7
8,50,['Sophia'],['Callie Calls'],"QS, AS, 2S, 2H, QH","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""Q"", ""Hearts"")])}",8
9,7,['Sophia'],['Callie Calls'],"QS, 9S, 10S, AC, 9D","{'Steve': Hand([Card(""6"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""9"", ""Diamonds"")])}",9
