,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,352,['Madi'],['Callie Calls'],"8D, QS, JD, 10H, 8S","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Hearts""), Card(""8"", ""Spades"")])}",0
1,381,"['Michelle', 'Sophia']","['Robbie Random', 'Callie Calls']","KD, 7D, 7C, 5H, 5D","{'Cody': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""5"", ""Hearts""), Card(""8"", ""Clubs""), Card(""5"", ""Diamonds"")]), 'Madi': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Spades""), Card(""5"", ""Hearts""), Card(""8"", ""Clubs""), Card(""5"", ""Diamonds"")]), 'Michelle': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds"")])}",1
2,558,['Madi'],['Callie Calls'],"5D, 5C, KD, 8C, KC","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs"")])}",2
3,73,['Sophia'],['Callie Calls'],"AH, 8D, 8C, AC, 7C","{'Madi': Hand([Card(""6"", ""Spades""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""7"", ""Clubs"")])}",3
4,24,['Sophia'],['Callie Calls'],"8H, 8D, 4C, AC, 4S","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""A"", ""Clubs""), Card(""4"", ""Spades"")])}",4
5,7,['Sophia'],['Callie Calls'],"KC, JH, JD, 10C, KH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts"")])}",5
6,4,['Sophia'],['Callie Calls'],"4C, 9S, 4D, 6C, 6S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""9"", ""Spades""), Card(""4"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Spades"")])}",6
7,6,['Madi'],['Callie Calls'],"3D, 9C, AD, AH, 3S","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""3"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""A"", ""Hearts"")])}",7
8,5,['Sophia'],['Callie Calls'],"QS, QH, 5C, 7C, 9D","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""5"", ""Clubs""), Card(""7"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""5"", ""Clubs""), Card(""7"", ""Clubs""), Card(""9"", ""Diamonds"")])}",8
9,4,['Madi'],['Callie Calls'],"QH, 10H, QD, KC, JS","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Spades"")])}",9
10,6,['Sophia'],['Callie Calls'],"KH, KS, 9S, 8C, 6S","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""6"", ""Spades"")])}",10
11,10,['Madi'],['Callie Calls'],"AD, AC, KH, 6S, 6H","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""6"", ""Spades""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Hearts"")])}",11
12,8,['Sophia'],['Callie Calls'],"JH, 8C, 10H, KH, JS","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Spades"")])}",12
13,12,['Madi'],['Callie Calls'],"5C, 5D, QS, 5H, 8H","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""5"", ""Hearts""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Hearts"")])}",13
14,10,['Madi'],['Callie Calls'],"6H, 3S, 5S, 2S, 4C","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""3"", ""Spades""), Card(""5"", ""Spades""), Card(""2"", ""Spades""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""2"", ""Hearts""), Card(""5"", ""Hearts""), Card(""10"", ""Hearts""), Card(""5"", ""Spades""), Card(""2"", ""Spades"")])}",14
15,8,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","KS, 7S, KC, 7C, QC","{'Madi': Hand([Card(""K"", ""Spades""), Card(""7"", ""Spades""), Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Spades""), Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs"")])}",15
16,12,['Sophia'],['Callie Calls'],"QH, QC, 10H, 7D, KS","{'Madi': Hand([Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""K"", ""Spades"")])}",16
17,10,['Madi'],['Callie Calls'],"3S, QH, 10H, KS, 3D","{'Madi': Hand([Card(""3"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""K"", ""Spades"")])}",17
18,8,['Sophia'],['Callie Calls'],"AH, 8H, KD, JD, AC","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs"")])}",18
19,12,['Sophia'],['Callie Calls'],"7C, 7S, JS, AH, JH","{'Madi': Hand([Card(""7"", ""Spades""), Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts"")])}",19
20,10,['Madi'],['Callie Calls'],"9C, 10H, KS, QC, 9H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts"")])}",20
21,16,['Madi'],['Callie Calls'],"AS, 8S, 8H, 7S, 8C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Hearts""), Card(""7"", ""Spades""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs"")])}",21
22,24,['Madi'],['Callie Calls'],"3S, 3D, JH, 3C, 7S","{'Madi': Hand([Card(""3"", ""Spades""), Card(""3"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""3"", ""Clubs""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""3"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts""), Card(""3"", ""Clubs"")])}",22
23,20,['Madi'],['Callie Calls'],"8D, 8H, 10H, QC, QS","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades"")])}",23
24,16,['Madi'],['Callie Calls'],"AD, 10C, 2D, AC, 2S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""2"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Clubs""), Card(""8"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""8"", ""Spades"")])}",24
25,24,['Madi'],['Callie Calls'],"6C, 8C, 9S, 10H, 7D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""7"", ""Diamonds"")])}",25
26,20,['Sophia'],['Callie Calls'],"8S, KH, 8D, AD, QC","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""J"", ""Spades""), Card(""4"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",26
27,16,['Sophia'],['Callie Calls'],"4D, 9C, JH, 4H, JC","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""J"", ""Hearts""), Card(""4"", ""Hearts""), Card(""J"", ""Clubs"")])}",27
28,24,['Madi'],['Callie Calls'],"AS, AD, 6D, 6C, 6H","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""10"", ""Spades"")])}",28
29,20,['Madi'],['Callie Calls'],"JH, 9S, 5S, JC, 5C","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""5"", ""Spades""), Card(""J"", ""Clubs""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""5"", ""Spades""), Card(""J"", ""Clubs""), Card(""5"", ""Clubs"")])}",29
30,16,['Madi'],['Callie Calls'],"AD, QD, JH, 8C, JC","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs"")])}",30
31,48,['Madi'],['Callie Calls'],"3C, 3D, AS, 9H, 9D","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds"")])}",31
