,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,401,['Madi'],['Callie Calls'],"6S, KS, KD, 6H, QS","{'Madi': Hand([Card(""6"", ""Spades""), Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""Q"", ""Spades"")])}",0
1,102,['Madi'],['Callie Calls'],"5H, QC, 8H, 5C, JD","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""8"", ""Hearts""), Card(""5"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""8"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""7"", ""Hearts"")])}",1
2,80,['Madi'],['Callie Calls'],"9H, KC, 9D, 7H, QS","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""Q"", ""Spades"")])}",2
3,29,['Madi'],['Callie Calls'],"7C, KS, QC, JD, 6D","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",3
4,66,['Steve'],['Robbie Random'],"10S, QH, 10H, KD, 8C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Steve': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs"")])}",4
5,5,['Madi'],['Callie Calls'],"KH, 4H, QS, 8C, 4D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""4"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""4"", ""Diamonds"")])}",5
6,146,['Madi'],['Callie Calls'],"QH, QS, 10C, AC, JS","{'Cody': Hand([Card(""2"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""2"", ""Clubs""), Card(""A"", ""Clubs""), Card(""J"", ""Spades"")]), 'Madi': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""J"", ""Spades"")]), 'Steve': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""J"", ""Spades"")])}",6
7,6,['Madi'],['Callie Calls'],"JH, 2C, 2H, QC, KH","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts"")]), 'Steve': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"7S, 5S, AS, AD, 6D","{'Madi': Hand([Card(""7"", ""Spades""), Card(""5"", ""Spades""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",8
9,73,['Madi'],['Callie Calls'],"QH, QS, AD, 6H, KD","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""K"", ""Diamonds"")])}",9
10,4,['Madi'],['Callie Calls'],"10H, 5H, 2H, JH, 9H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""5"", ""Hearts""), Card(""2"", ""Hearts""), Card(""J"", ""Hearts""), Card(""9"", ""Hearts"")])}",10
11,90,['Madi'],['Callie Calls'],"QH, QD, 9S, 10D, 7S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Diamonds""), Card(""7"", ""Spades"")])}",11
12,28,['Michelle'],['Robbie Random'],"8C, JC, QD, AS, 10H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Hearts""), Card(""10"", ""Hearts"")]), 'Michelle': Hand([Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Hearts"")])}",12
13,8,['Madi'],['Callie Calls'],"10S, QS, 5S, 7C, 10H","{'Madi': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""5"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Hearts"")])}",13
14,48,['Madi'],['Callie Calls'],"2C, 9D, QS, 2H, AS","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""2"", ""Hearts""), Card(""A"", ""Spades"")])}",14
