,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,470,['Sophia'],['Callie Calls'],"3H, KS, AD, QS, 3S","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""3"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""3"", ""Spades"")])}",0
1,269,['Cody'],['Robbie Random'],"JC, 6S, QH, 6D, 10D","{'Cody': Hand([Card(""J"", ""Clubs""), Card(""6"", ""Spades""), Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds"")]), 'Madi': Hand([Card(""5"", ""Spades""), Card(""9"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Spades""), Card(""8"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds"")])}",1
2,24,['Sophia'],['Callie Calls'],"JH, JC, AC, 9C, AS","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Spades"")])}",2
3,250,['Sophia'],['Callie Calls'],"10C, 5H, JC, 5S, AC","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""5"", ""Hearts""), Card(""J"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Clubs"")])}",3
4,155,['Cody'],['Robbie Random'],"AC, QC, AH, AD, QS","{'Cody': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"5S, KC, AS, JH, 5D","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""5"", ""Diamonds"")])}",5
6,4,['Sophia'],['Callie Calls'],"3C, 5S, 7C, 6H, 4D","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""5"", ""Spades""), Card(""7"", ""Clubs""), Card(""6"", ""Hearts""), Card(""4"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"4S, KS, JS, QS, 10S","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"10S, QC, 9D, QS, KS","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Spades"")])}",8
9,4,['Sophia'],['Callie Calls'],"KH, 10D, 8D, JH, 8S","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"2C, 2D, 10S, 10D, QD","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",10
11,154,['Sophia'],['Callie Calls'],"KD, 6H, JD, 7D, 5D","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",11
