,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,668,['Sophia'],['Callie Calls'],"9D, AS, 2D, KS, 2C","{'Madi': Hand([Card(""J"", ""Spades""), Card(""6"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""K"", ""Spades""), Card(""2"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""2"", ""Diamonds""), Card(""K"", ""Spades""), Card(""2"", ""Clubs"")])}",0
1,39,['Sophia'],['Callie Calls'],"2H, 2D, JS, AS, QH","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts"")])}",1
2,12,['Sophia'],['Callie Calls'],"8H, KC, AS, 9D, JS","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""J"", ""Spades"")])}",2
3,3,['Sophia'],['Callie Calls'],"AD, 10D, KD, 7C, 6C","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""6"", ""Clubs"")])}",3
4,3,['Sophia'],['Callie Calls'],"JS, 7H, KC, 8D, JH","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Hearts"")])}",4
5,3,['Sophia'],['Callie Calls'],"JC, 7C, 7S, AD, 10H","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"AS, 10S, 6S, QH, 7D","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""6"", ""Spades""), Card(""Q"", ""Hearts""), Card(""7"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"7C, 7S, 7H, AD, 7D","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"6S, JH, 8D, 8S, JC","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""J"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"2C, AC, 4C, 8C, 6C","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""A"", ""Clubs""), Card(""4"", ""Clubs""), Card(""8"", ""Clubs""), Card(""6"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"KC, JS, 5H, KS, 5D","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""5"", ""Hearts""), Card(""K"", ""Spades""), Card(""5"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"9H, 7C, AS, KD, 6D","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"7S, QS, KH, 8C, AH","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Clubs""), Card(""A"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"JC, 4C, 9D, 4H, 9C","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""4"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""9"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"4H, 7S, 4D, QD, 9C","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""7"", ""Spades""), Card(""4"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"3C, 7C, 10C, 6C, 5C","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""7"", ""Clubs""), Card(""10"", ""Clubs""), Card(""6"", ""Clubs""), Card(""5"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"2H, AD, 2C, 8D, 6H","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Hearts"")])}",16
17,6,['Sophia'],['Callie Calls'],"4S, AD, JH, 8D, 8S","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades"")])}",17
18,6,['Sophia'],['Callie Calls'],"10H, 10D, QH, JS, 8C","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"QS, 2H, 9C, 2C, 9S","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""2"", ""Hearts""), Card(""9"", ""Clubs""), Card(""2"", ""Clubs""), Card(""9"", ""Spades"")])}",19
20,6,['Sophia'],['Callie Calls'],"7H, 7D, 7S, 8S, 8H","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Hearts"")])}",20
21,12,['Sophia'],['Callie Calls'],"8S, KS, 5C, 9C, 9D","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""5"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds"")])}",21
22,12,['Sophia'],['Callie Calls'],"10S, 10C, JD, QD, QC","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",22
23,12,['Sophia'],['Callie Calls'],"10S, 9C, 7S, 9H, KS","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Spades"")])}",23
24,12,['Sophia'],['Callie Calls'],"KD, 6S, KC, QH, 8C","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Spades""), Card(""K"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""8"", ""Clubs"")])}",24
25,12,['Sophia'],['Callie Calls'],"5D, JS, AS, AH, 5H","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""5"", ""Hearts"")])}",25
26,12,['Sophia'],['Callie Calls'],"AH, KD, 10H, QC, 7S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""7"", ""Spades"")])}",26
27,12,['Sophia'],['Callie Calls'],"5S, 5H, 10S, 10H, 5D","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""5"", ""Diamonds"")])}",27
28,12,['Sophia'],['Callie Calls'],"10D, 7D, KD, 3D, 2D","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",28
