,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,378,['Madi'],['Callie Calls'],"10C, 9C, 10S, JD, QS","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades"")])}",0
1,286,['Madi'],['Callie Calls'],"JC, KC, 8D, 10D, JH","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Michelle': Hand([Card(""7"", ""Spades""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts"")])}",1
2,68,['Madi'],['Callie Calls'],"10D, 9D, KH, AS, 9C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Clubs"")])}",2
3,70,['Madi'],['Callie Calls'],"KD, 7D, 9S, 9D, AD","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""9"", ""Spades""), Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds"")]), 'Steve': Hand([Card(""K"", ""Clubs""), Card(""5"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",3
4,23,['Madi'],['Callie Calls'],"9C, 7D, JS, 6S, KC","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""K"", ""Clubs"")])}",4
5,7,['Madi'],['Callie Calls'],"8D, 7H, 9H, 10C, JS","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Clubs""), Card(""J"", ""Spades"")])}",5
6,3,['Madi'],['Callie Calls'],"QD, KD, QH, 7S, 7C","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""7"", ""Spades""), Card(""7"", ""Clubs"")])}",6
7,3,['Madi'],['Callie Calls'],"9H, 8H, 9C, 2H, 2D","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""2"", ""Hearts""), Card(""2"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"8D, 5C, 8S, QC, 5D","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"QS, 5C, 5S, KH, AD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"10C, 6D, 8H, 9C, 8D","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"9H, JD, 2D, KH, 2C","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""2"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"KH, 8D, 7C, JC, 9S","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs""), Card(""9"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"8S, 8H, KH, AC, KC","{'Madi': Hand([Card(""8"", ""Spades""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs"")])}",13
14,6,['Madi'],['Callie Calls'],"JC, KS, 6D, AC, JH","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"KD, 6C, 10C, 6H, 5D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""10"", ""Clubs""), Card(""6"", ""Hearts""), Card(""5"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"QC, 5D, 5H, 5S, 9D","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""9"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"AD, JD, JH, 3C, 3S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""3"", ""Clubs""), Card(""3"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"8H, 4D, 9H, 8D, 4C","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""4"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"7S, 5C, QD, JD, 7D","{'Madi': Hand([Card(""7"", ""Spades""), Card(""5"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",19
20,6,['Madi'],['Callie Calls'],"AD, KH, 9H, 8C, QS","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"AD, AS, 10H, KH, JS","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Spades"")])}",21
22,12,['Madi'],['Callie Calls'],"6H, 7D, QD, JS, 5D","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""5"", ""Diamonds"")])}",22
