,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,279,['Sophia'],['Callie Calls'],"6C, 8C, 7D, 5S, 9D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""3"", ""Spades""), Card(""3"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""5"", ""Spades""), Card(""9"", ""Diamonds"")])}",0
1,282,['Sophia'],['Callie Calls'],"AS, 9S, 10C, 10D, AD","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""6"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Steve': Hand([Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",1
2,103,['Sophia'],['Callie Calls'],"9S, 9H, 6C, QC, KD","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""6"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds"")])}",2
3,132,['Sophia'],['Callie Calls'],"10H, 8S, 7H, 6C, 9H","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Hearts""), Card(""6"", ""Clubs""), Card(""9"", ""Hearts"")])}",3
4,29,['Sophia'],['Callie Calls'],"9C, 9D, JD, 10H, KH","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts"")])}",4
5,3,['Sophia'],['Callie Calls'],"9C, 5C, 5H, JH, QC","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"8S, 8D, AS, 8C, KC","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"6D, 8D, 10S, 8C, 6S","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""6"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"6D, 4D, 3C, 2H, 5S","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""2"", ""Hearts""), Card(""5"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"QD, 10C, 7S, 7C, 10D","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"7C, 6H, 10H, 9H, QC","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"6C, 8D, QC, 9S, 8S","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Spades""), Card(""8"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"8H, 7D, 7C, JH, 8D","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"10C, QS, AD, KS, 6C","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""6"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"KC, 10C, KH, 4C, KD","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Diamonds"")])}",14
15,6,['Sophia'],['Callie Calls'],"JD, 10C, AS, 9S, JC","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""J"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"JH, 3D, KH, KS, 3C","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""3"", ""Clubs"")])}",16
17,6,['Sophia'],['Callie Calls'],"6H, QD, 10D, 6S, 10H","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""6"", ""Spades""), Card(""10"", ""Hearts"")])}",17
18,6,['Sophia'],['Callie Calls'],"6C, JC, 6S, 4S, 7H","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""J"", ""Clubs""), Card(""6"", ""Spades""), Card(""4"", ""Spades""), Card(""7"", ""Hearts"")])}",18
19,6,['Sophia'],['Callie Calls'],"AS, 8C, AD, QD, 8S","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades"")])}",19
20,6,['Sophia'],['Callie Calls'],"KD, 2H, QD, AC, 2C","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""2"", ""Clubs"")])}",20
21,12,['Sophia'],['Callie Calls'],"6H, JC, 10H, 6C, 8H","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts"")])}",21
22,12,['Sophia'],['Callie Calls'],"10H, 6S, 9S, 7D, 8S","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades"")])}",22
23,12,['Sophia'],['Callie Calls'],"9C, QC, AS, QH, 8C","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts""), Card(""8"", ""Clubs"")])}",23
24,12,['Sophia'],['Callie Calls'],"6H, 9H, 6C, 4H, 6S","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""9"", ""Hearts""), Card(""6"", ""Clubs""), Card(""4"", ""Hearts""), Card(""6"", ""Spades"")])}",24
