,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,402,['Madi'],['Callie Calls'],"8S, 8D, QC, KS, AD","{'Madi': Hand([Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds"")])}",0
1,329,['Madi'],['Callie Calls'],"5S, 8H, KS, AC, QD","{'Madi': Hand([Card(""5"", ""Spades""), Card(""8"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",1
2,67,['Madi'],['Callie Calls'],"3H, KD, KC, 6H, 3C","{'Cody': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Hearts""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""5"", ""Hearts"")]), 'Madi': Hand([Card(""3"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""3"", ""Clubs"")])}",2
3,25,['Madi'],['Callie Calls'],"AD, 7D, 7H, JC, 8D","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds"")])}",3
4,10,['Madi'],['Callie Calls'],"AD, 8H, AS, 9D, 5C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""5"", ""Clubs"")])}",4
5,5,['Madi'],['Callie Calls'],"KC, KS, AC, QS, QD","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds"")])}",5
6,6,['Madi'],['Callie Calls'],"8D, 7S, 6H, 8S, QC","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Clubs"")])}",6
7,3,['Madi'],['Callie Calls'],"KC, 8S, 10S, 9S, 8D","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"2C, 2D, KH, 2S, 8C","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""2"", ""Spades""), Card(""8"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"AD, 8H, 9H, 9C, 8S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Spades"")])}",9
10,3,['Madi'],['Callie Calls'],"6C, QC, AS, 8D, AD","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"AH, QH, KS, 9H, AS","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""A"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"JD, 9H, 8D, KD, 7S","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""7"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"9C, 7D, KH, 9D, 9S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"4H, 9C, 4D, QD, JC","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""9"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs"")])}",14
