,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,339,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","JD, 3H, QS, QC, 3S","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""Q"", ""Spades""), Card(""Q"", ""Clubs""), Card(""3"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""3"", ""Hearts""), Card(""Q"", ""Spades""), Card(""Q"", ""Clubs""), Card(""3"", ""Spades"")])}",0
1,326,['Sophia'],['Callie Calls'],"7H, 10S, 7D, 7S, 9H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""9"", ""Hearts"")])}",1
2,200,['Sophia'],['Callie Calls'],"JS, 7H, 7D, QS, JC","{'Madi': Hand([Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs"")])}",2
3,151,['Madi'],['Callie Calls'],"6H, QC, QS, QH, 6C","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts"")])}",3
4,43,['Madi'],['Callie Calls'],"JC, AH, AS, QD, KS","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Madi': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds"")])}",4
5,5,['Madi'],['Callie Calls'],"8S, 4S, 3D, 4D, 3C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""4"", ""Spades""), Card(""3"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""5"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs"")])}",5
6,6,['Sophia'],['Callie Calls'],"7H, AC, AS, KC, JD","{'Madi': Hand([Card(""6"", ""Spades""), Card(""4"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds"")])}",6
7,5,['Sophia'],['Callie Calls'],"2H, QC, 6C, AD, 2S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""5"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""6"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""2"", ""Spades"")])}",7
8,77,['Sophia'],['Callie Calls'],"QH, 9H, 6H, KH, 7H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""6"", ""Hearts""), Card(""K"", ""Hearts""), Card(""7"", ""Hearts"")]), 'Michelle': Hand([Card(""3"", ""Hearts""), Card(""9"", ""Hearts""), Card(""6"", ""Hearts""), Card(""K"", ""Hearts""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""6"", ""Hearts""), Card(""K"", ""Hearts""), Card(""7"", ""Hearts"")])}",8
9,7,['Sophia'],['Callie Calls'],"5D, 5C, 8D, 6H, AH","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""A"", ""Hearts"")])}",9
