,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,360,['Madi'],['Callie Calls'],"4S, 4D, 4H, KD, QD","{'Madi': Hand([Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""9"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",0
1,208,['Madi'],['Callie Calls'],"AD, QD, 4H, 4C, AC","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Clubs"")])}",1
2,220,['Madi'],['Callie Calls'],"KC, 6C, AH, 6H, AS","{'Cody': Hand([Card(""Q"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""A"", ""Spades"")]), 'Madi': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""A"", ""Spades"")])}",2
3,45,['Madi'],['Callie Calls'],"7D, AS, JS, QS, 7S","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""7"", ""Spades"")])}",3
4,9,['Madi'],['Callie Calls'],"AD, 7H, QD, JD, 7S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""7"", ""Spades"")])}",4
5,3,['Madi'],['Callie Calls'],"AC, 9S, JC, 10S, KC","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"5C, 8S, 5S, AC, 10H","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""8"", ""Spades""), Card(""5"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"8S, 5C, 8D, JD, 9D","{'Madi': Hand([Card(""8"", ""Spades""), Card(""5"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"9D, KC, AC, AH, 7D","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"6S, 2D, 2C, 6C, 6D","{'Madi': Hand([Card(""6"", ""Spades""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds"")])}",9
