,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,438,['Sophia'],['Callie Calls'],"QD, QC, 4D, 4H, AC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Michelle': Hand([Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""A"", ""Clubs"")])}",0
1,204,['Sophia'],['Callie Calls'],"AH, AS, AD, JD, 5S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Spades"")])}",1
2,169,"['Steve', 'Sophia']","['Robbie Random', 'Callie Calls']","9D, JS, 10D, 7H, 8S","{'Steve': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""8"", ""Spades"")])}",2
3,104,['Sophia'],['Callie Calls'],"JS, JC, 6D, KS, 9S","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Spades"")])}",3
4,60,['Sophia'],['Callie Calls'],"AD, QD, 8S, QS, JD","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds"")])}",4
5,15,['Sophia'],['Callie Calls'],"6H, 6D, KS, KH, JC","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs"")])}",5
6,40,['Sophia'],['Callie Calls'],"AH, KD, 7D, 9S, AD","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds"")])}",6
7,6,['Sophia'],['Callie Calls'],"3C, 9C, 8D, 6H, 3S","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""3"", ""Spades"")])}",7
8,15,['Sophia'],['Callie Calls'],"10C, QD, 10S, 7H, 7D","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""10"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds"")])}",8
9,14,['Sophia'],['Callie Calls'],"10S, 9C, 10H, AD, 9D","{'Steve': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"10C, 9C, 10H, 10S, AC","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""A"", ""Clubs"")])}",10
