,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,533,['Sophia'],['Callie Calls'],"9H, QS, KD, QD, 9D","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",0
1,192,['Sophia'],['Callie Calls'],"2S, 5D, 4C, 3S, 6H","{'Cody': Hand([Card(""3"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""3"", ""Spades""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Spades""), Card(""5"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""3"", ""Spades""), Card(""6"", ""Hearts"")])}",1
2,68,['Sophia'],['Callie Calls'],"6S, 9S, KC, 6C, 8H","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""K"", ""Clubs""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts"")])}",2
3,14,['Sophia'],['Callie Calls'],"6H, 6S, 6D, AD, 3D","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""3"", ""Diamonds"")])}",3
4,3,['Sophia'],['Callie Calls'],"3D, 2S, 2H, 3C, JD","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""3"", ""Clubs""), Card(""J"", ""Diamonds"")])}",4
5,3,['Sophia'],['Callie Calls'],"JC, 9D, QC, KS, 8D","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"AS, 7S, AH, KC, 7D","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"9H, 8D, QS, JD, 10S","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"JS, 3C, AD, 3D, 9C","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""3"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""9"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"8D, 10D, QS, JH, 9H","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"2S, 2H, 3C, AH, 3S","{'Sophia': Hand([Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""3"", ""Clubs""), Card(""A"", ""Hearts""), Card(""3"", ""Spades"")])}",10
11,6,['Sophia'],['Callie Calls'],"5S, 10S, 4C, 10H, JD","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""4"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds"")])}",11
