,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,560,['Sophia'],['Callie Calls'],"QC, QD, JS, JH, QH","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Hearts"")])}",0
1,60,['Sophia'],['Callie Calls'],"7C, JH, 8D, 10H, 7S","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Spades"")])}",1
2,42,"['Michelle', 'Sophia']","['Robbie Random', 'Callie Calls']","2C, 5C, 6C, 3C, 8C","{'Michelle': Hand([Card(""2"", ""Clubs""), Card(""5"", ""Clubs""), Card(""6"", ""Clubs""), Card(""3"", ""Clubs""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""2"", ""Clubs""), Card(""5"", ""Clubs""), Card(""6"", ""Clubs""), Card(""3"", ""Clubs""), Card(""8"", ""Clubs"")])}",2
3,4,['Sophia'],['Callie Calls'],"KH, 5S, AC, AD, 5D","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""5"", ""Spades""), Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",3
4,5,['Sophia'],['Callie Calls'],"KS, QS, QH, 4H, 4S","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"5C, 8C, 5S, AH, JS","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""8"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Spades"")])}",5
6,196,['Michelle'],['Robbie Random'],"2S, AS, AD, 2D, JD","{'Michelle': Hand([Card(""2"", ""Spades""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""3"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""3"", ""Clubs"")])}",6
7,393,['Sophia'],['Callie Calls'],"8H, 8D, QS, 9D, KC","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"JC, AS, 7H, 6H, 7D","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Hearts""), Card(""6"", ""Hearts""), Card(""7"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"10C, 10D, QH, 6S, KC","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""6"", ""Spades""), Card(""K"", ""Clubs"")])}",9
