,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,568,['Madi'],['Callie Calls'],"2C, 10S, AD, 2D, JD","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""6"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""J"", ""Diamonds"")])}",0
1,46,['Madi'],['Callie Calls'],"JC, 6S, AS, 10C, 9S","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""6"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""9"", ""Spades"")])}",1
2,13,['Madi'],['Callie Calls'],"6D, 10H, 9D, AD, 8D","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",2
3,85,['Madi'],['Callie Calls'],"5D, QS, 8S, 5S, 8H","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""5"", ""Spades""), Card(""8"", ""Hearts"")])}",3
4,21,['Steve'],['Robbie Random'],"7H, 9H, 7C, KS, 7S","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Spades"")]), 'Steve': Hand([Card(""7"", ""Hearts""), Card(""9"", ""Hearts""), Card(""7"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Spades"")])}",4
5,118,['Madi'],['Callie Calls'],"JC, JD, AH, KH, 10C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"3D, 7D, 10D, 6D, 5D","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",6
7,3,['Madi'],['Callie Calls'],"3H, 3D, 7H, 3C, 8S","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""3"", ""Clubs""), Card(""8"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"4D, 4S, KD, JH, AS","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"8D, 4S, QS, 4C, 6S","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""4"", ""Clubs""), Card(""6"", ""Spades"")])}",9
10,3,['Madi'],['Callie Calls'],"3H, 3S, 10D, 3C, 5S","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""10"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""5"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"6D, 3D, 8D, 9H, 3C","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""3"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"QD, 10D, QS, 7S, 7H","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"JS, QD, KC, KD, QC","{'Madi': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",13
14,6,['Madi'],['Callie Calls'],"9S, 8D, KS, 10S, 10C","{'Madi': Hand([Card(""9"", ""Spades""), Card(""8"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"9C, QC, 5S, AD, KS","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades"")])}",15
16,6,['Madi'],['Callie Calls'],"4S, 8C, JD, 7C, KH","{'Madi': Hand([Card(""4"", ""Spades""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""K"", ""Hearts"")])}",16
17,6,['Madi'],['Callie Calls'],"JH, 10C, QS, 10D, QD","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",17
18,6,['Madi'],['Callie Calls'],"4S, 4H, 4D, KC, 8H","{'Madi': Hand([Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"QH, 9D, 9C, KD, QD","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",19
20,6,['Madi'],['Callie Calls'],"JH, 3D, 3H, 10C, QC","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""10"", ""Clubs""), Card(""Q"", ""Clubs"")])}",20
21,12,['Madi'],['Callie Calls'],"9H, 8C, 7C, JS, 7D","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Clubs""), Card(""7"", ""Clubs""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds"")])}",21
22,12,['Madi'],['Callie Calls'],"JD, 9H, 3C, AD, 3H","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""3"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""3"", ""Hearts"")])}",22
23,12,['Madi'],['Callie Calls'],"QC, 6H, AD, 7S, 7C","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Spades""), Card(""7"", ""Clubs"")])}",23
24,12,['Madi'],['Callie Calls'],"KC, 9C, 9H, 9D, 3S","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""3"", ""Spades"")])}",24
25,12,['Madi'],['Callie Calls'],"KH, 9H, 6S, 6C, 8D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Diamonds"")])}",25
26,12,['Madi'],['Callie Calls'],"6D, JH, 6H, 7H, AD","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""6"", ""Hearts""), Card(""7"", ""Hearts""), Card(""A"", ""Diamonds"")])}",26
27,12,['Madi'],['Callie Calls'],"QH, QC, QS, 7H, 7C","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs"")])}",27
28,12,['Madi'],['Callie Calls'],"8D, 10S, 7S, 4S, 9C","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Spades""), Card(""7"", ""Spades""), Card(""4"", ""Spades""), Card(""9"", ""Clubs"")])}",28
29,12,['Madi'],['Callie Calls'],"AC, QC, 7S, 10C, 7C","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""7"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs"")])}",29
