,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,483,['Madi'],['Callie Calls'],"4H, QD, 4D, 10D, QH","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",0
1,37,['Madi'],['Callie Calls'],"6S, AH, KD, QH, 6C","{'Madi': Hand([Card(""6"", ""Spades""), Card(""A"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""6"", ""Clubs"")])}",1
2,207,['Madi'],['Callie Calls'],"4H, 6H, QH, AS, 4S","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""6"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""4"", ""Spades"")])}",2
3,4,['Madi'],['Callie Calls'],"8H, KD, 10S, 6D, QC","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",3
4,18,['Steve'],['Robbie Random'],"JD, KD, 6S, 9S, 7C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Clubs"")]), 'Steve': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Clubs"")])}",4
5,22,['Madi'],['Callie Calls'],"10C, 8D, 7C, 6S, 9C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""6"", ""Spades""), Card(""9"", ""Clubs"")])}",5
6,22,['Madi'],['Callie Calls'],"7H, AH, JS, QH, 8S","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades"")])}",6
7,96,['Madi'],['Callie Calls'],"QH, KD, 8C, 2S, 2H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""2"", ""Spades""), Card(""2"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"QH, JH, 9D, 8C, 10C","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""10"", ""Clubs"")])}",8
9,16,['Cody'],['Robbie Random'],"9H, 4C, 9D, 4S, AC","{'Cody': Hand([Card(""9"", ""Hearts""), Card(""4"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""4"", ""Spades""), Card(""A"", ""Clubs"")]), 'Madi': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")])}",9
