,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,500,['Sophia'],['Callie Calls'],"QD, KD, 10D, QS, 10C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""10"", ""Clubs"")])}",0
1,236,['Sophia'],['Callie Calls'],"10D, 8S, 9H, 7D, JS","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""J"", ""Spades"")])}",1
2,3,['Sophia'],['Callie Calls'],"10H, 7D, 2S, 7C, 2C","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""2"", ""Spades""), Card(""7"", ""Clubs""), Card(""2"", ""Clubs"")])}",2
3,4,['Sophia'],['Callie Calls'],"9H, 6H, 7H, 9C, 10D","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""6"", ""Hearts""), Card(""7"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds"")])}",3
4,109,['Sophia'],['Callie Calls'],"QS, 8H, KC, JD, 10C","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs"")])}",4
5,4,['Sophia'],['Callie Calls'],"10D, 3D, 6S, 3C, JH","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""6"", ""Spades""), Card(""3"", ""Clubs""), Card(""J"", ""Hearts"")])}",5
6,4,['Sophia'],['Callie Calls'],"5D, 5H, 9S, 9H, QD","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",6
7,5,['Sophia'],['Callie Calls'],"9D, 9H, 7C, 3D, 9S","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""7"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""9"", ""Spades"")])}",7
8,6,['Sophia'],['Callie Calls'],"JC, QH, AS, JH, KC","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"JC, 3C, 5D, 3H, 3S","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""3"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"8S, 10H, 8H, 4C, 8D","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""4"", ""Clubs""), Card(""8"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"4S, 3H, 3S, KD, 4C","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""K"", ""Diamonds""), Card(""4"", ""Clubs"")])}",11
12,6,['Sophia'],['Callie Calls'],"10H, 10D, 2H, 2C, AH","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""A"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"QC, 10C, JS, AH, KC","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"QC, AS, KD, 7C, 8C","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"KS, 8H, 8D, 5S, 5C","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"AH, 9C, QH, 8D, 8S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"4D, 3D, 4S, 4H, QS","{'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""Q"", ""Spades"")])}",17
18,6,['Sophia'],['Callie Calls'],"JC, 10H, 10C, 9C, JH","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""9"", ""Clubs""), Card(""J"", ""Hearts"")])}",18
