,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,547,['Sophia'],['Callie Calls'],"QC, AH, KC, 7C, 7H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts"")])}",0
1,104,['Sophia'],['Callie Calls'],"5D, QC, 8D, KD, AH","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""A"", ""Hearts"")])}",1
2,47,['Sophia'],['Callie Calls'],"9C, 4C, 5C, 6C, 8C","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""4"", ""Clubs""), Card(""5"", ""Clubs""), Card(""6"", ""Clubs""), Card(""8"", ""Clubs"")])}",2
3,4,['Sophia'],['Callie Calls'],"KS, KD, JS, 7D, JC","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs"")])}",3
4,67,['Sophia'],['Callie Calls'],"8H, 10D, 9D, JC, QS","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades"")])}",4
5,42,['Sophia'],['Callie Calls'],"AH, JD, JC, 2D, 2C","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs"")])}",5
6,4,['Sophia'],['Callie Calls'],"JD, QD, QS, 5D, 6H","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""5"", ""Diamonds""), Card(""6"", ""Hearts"")])}",6
7,17,['Sophia'],['Callie Calls'],"5S, KH, KD, 5D, AH","{'Steve': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""A"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"6D, JS, 6C, JC, AH","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"2H, KD, 6D, 9S, 2C","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""9"", ""Spades""), Card(""2"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"4H, 2S, QC, 2C, 4D","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""2"", ""Spades""), Card(""Q"", ""Clubs""), Card(""2"", ""Clubs""), Card(""4"", ""Diamonds"")])}",10
