,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,409,['Sophia'],['Callie Calls'],"4H, JC, AD, KC, 4D","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""4"", ""Diamonds"")])}",0
1,265,['Sophia'],['Callie Calls'],"3D, JC, KH, 3C, KC","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""3"", ""Clubs""), Card(""K"", ""Clubs"")])}",1
2,33,['Sophia'],['Callie Calls'],"7D, JD, AD, 10D, 2D","{'Steve': Hand([Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",2
3,16,['Sophia'],['Callie Calls'],"10D, 10S, 10C, KD, 3D","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""3"", ""Diamonds"")])}",3
4,6,['Sophia'],['Callie Calls'],"AH, 9D, 10D, 10S, 9S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""9"", ""Spades"")])}",4
5,5,['Sophia'],['Callie Calls'],"QH, 8C, AH, AD, 7C","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""8"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"6H, JH, AH, 10H, 3H","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""3"", ""Hearts"")])}",6
7,98,['Sophia'],['Callie Calls'],"AH, JS, QS, 8D, KC","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"KH, 8D, 3D, 3C, 6H","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""6"", ""Hearts"")])}",8
9,66,['Sophia'],['Callie Calls'],"JD, 7C, 10H, 8C, 8S","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""10"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Spades"")])}",9
10,14,['Sophia'],['Callie Calls'],"3C, 8H, AH, 3S, 8D","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""3"", ""Spades""), Card(""8"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"7C, 10C, QD, JC, 7D","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"7H, 10H, QH, JD, 8C","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""8"", ""Clubs"")])}",12
13,6,['Sophia'],['Callie Calls'],"KC, 8H, 2C, 2H, QS","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Hearts""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""Q"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"5C, 9C, 8S, KD, 5S","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""K"", ""Diamonds""), Card(""5"", ""Spades"")])}",14
