,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,561,['Sophia'],['Callie Calls'],"QS, 6S, 4S, 9C, QC","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Clubs""), Card(""6"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs"")]), 'Steve': Hand([Card(""J"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""6"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Spades""), Card(""4"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs"")])}",0
1,197,['Sophia'],['Callie Calls'],"10H, 7C, KS, 7D, QH","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""7"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",1
2,39,['Sophia'],['Callie Calls'],"6D, 6C, 5D, QH, 5H","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""5"", ""Hearts"")])}",2
3,15,['Cody'],['Robbie Random'],"AH, 9H, QH, 6H, 2H","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""6"", ""Hearts""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""6"", ""Hearts""), Card(""5"", ""Spades"")])}",3
4,10,['Sophia'],['Callie Calls'],"8C, 8S, 4C, 4H, 6C","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""6"", ""Clubs"")])}",4
5,17,['Cody'],['Robbie Random'],"8D, 9H, 9C, JC, KD","{'Cody': Hand([Card(""8"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""A"", ""Spades""), Card(""5"", ""Clubs""), Card(""J"", ""Clubs""), Card(""K"", ""Diamonds"")])}",5
6,4,['Sophia'],['Callie Calls'],"8C, 8S, QD, AS, QS","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""Q"", ""Spades"")])}",6
7,6,['Sophia'],['Callie Calls'],"6H, 8S, 5C, 4D, 7H","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""5"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""7"", ""Hearts"")])}",7
8,29,['Sophia'],['Callie Calls'],"6D, JD, JC, JH, 6S","{'Cody': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""6"", ""Spades"")])}",8
9,8,['Sophia'],['Callie Calls'],"AH, 8C, JD, 10C, 7S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"QS, JD, JS, QD, 4D","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"5S, 9S, QD, 8H, JH","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"9H, 3H, 4D, 4C, 3S","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""3"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""3"", ""Spades"")])}",12
13,6,['Sophia'],['Callie Calls'],"7S, 4S, KS, 9S, 10S","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""4"", ""Spades""), Card(""K"", ""Spades""), Card(""9"", ""Spades""), Card(""10"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"JS, 5H, 5D, 10S, 9D","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds"")])}",14
15,6,['Sophia'],['Callie Calls'],"6C, KH, 10S, AD, 8D","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"QS, 3D, 3H, 10D, 3C","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""3"", ""Clubs"")])}",16
17,6,['Sophia'],['Callie Calls'],"AH, 6H, 10H, 10D, 6C","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs"")])}",17
18,6,['Sophia'],['Callie Calls'],"6H, 10S, 6S, 9D, 10C","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Spades""), Card(""6"", ""Spades""), Card(""9"", ""Diamonds""), Card(""10"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"QH, 9D, 7H, 8D, KS","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Spades"")])}",19
20,6,['Sophia'],['Callie Calls'],"KS, QD, 7H, 9C, JC","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""9"", ""Clubs""), Card(""J"", ""Clubs"")])}",20
21,12,['Sophia'],['Callie Calls'],"3C, QH, 10C, KH, 3H","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""3"", ""Hearts"")])}",21
22,12,['Sophia'],['Callie Calls'],"KC, 5D, 5S, JS, 10C","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Clubs"")])}",22
