,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,408,['Madi'],['Callie Calls'],"10D, AC, 9S, AH, 9D","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds"")])}",0
1,208,['Sophia'],['Callie Calls'],"KH, 7C, 6D, KC, JS","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""7"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Spades"")]), 'Steve': Hand([Card(""8"", ""Spades""), Card(""7"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Spades"")])}",1
2,295,"['Cody', 'Madi']","['Robbie Random', 'Callie Calls']","JS, 10S, QS, AC, JH","{'Cody': Hand([Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts"")]), 'Madi': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""5"", ""Clubs"")])}",2
3,82,['Sophia'],['Callie Calls'],"3S, 3D, KD, 9H, KH","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""3"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""K"", ""Hearts"")])}",3
4,10,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","4H, 3H, 5D, 2H, 6H","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""3"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Spades""), Card(""3"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""6"", ""Hearts"")])}",4
5,405,['Cody'],['Robbie Random'],"5D, 5C, 5H, AD, 7D","{'Cody': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Madi': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""8"", ""Clubs""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Diamonds"")])}",5
6,7,['Sophia'],['Callie Calls'],"3D, 3S, KH, AC, KC","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs"")])}",6
7,478,['Madi'],['Callie Calls'],"JS, AH, 9C, JD, 10S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades"")])}",7
8,6,['Madi'],['Callie Calls'],"AD, 10D, KD, 8C, 9H","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts"")])}",8
9,393,['Cody'],['Robbie Random'],"8S, KS, JD, QS, AD","{'Cody': Hand([Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Madi': Hand([Card(""8"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds"")])}",9
10,706,['Madi'],['Callie Calls'],"8C, KD, JS, 10D, 6C","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs"")])}",10
11,6,['Madi'],['Callie Calls'],"5C, QH, 5S, 10S, AH","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"6S, 6H, 8D, 8C, 6C","{'Madi': Hand([Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""6"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"3D, KD, 3C, 9D, AS","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""A"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"4H, QD, JS, QS, 4S","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""4"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"10S, AD, 9S, 10H, 9D","{'Madi': Hand([Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"7H, KS, 6H, AC, 4H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""6"", ""Hearts""), Card(""A"", ""Clubs""), Card(""4"", ""Hearts"")])}",16
17,6,['Madi'],['Callie Calls'],"5D, AS, 10C, 9C, 5C","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""9"", ""Clubs""), Card(""5"", ""Clubs"")])}",17
18,6,['Madi'],['Callie Calls'],"8D, 4C, 8C, 8H, 4H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""8"", ""Clubs""), Card(""8"", ""Hearts""), Card(""4"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"10S, KD, 8D, 8C, 9D","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds"")])}",19
20,6,['Madi'],['Callie Calls'],"KD, JC, 5C, 10C, KS","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""5"", ""Clubs""), Card(""10"", ""Clubs""), Card(""K"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"3S, 3H, 8S, 10S, JD","{'Madi': Hand([Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds"")])}",21
22,12,['Madi'],['Callie Calls'],"AD, JC, JS, 4S, 4H","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""4"", ""Spades""), Card(""4"", ""Hearts"")])}",22
23,12,['Madi'],['Callie Calls'],"9D, 8C, AH, 7C, QC","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs"")])}",23
24,12,['Madi'],['Callie Calls'],"9D, 7D, 10H, JH, QC","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs"")])}",24
25,12,['Madi'],['Callie Calls'],"KS, QS, 8S, KC, 7H","{'Madi': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Clubs""), Card(""7"", ""Hearts"")])}",25
26,12,['Madi'],['Callie Calls'],"8C, 5C, 7S, KS, 8H","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""5"", ""Clubs""), Card(""7"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"9S, 10H, KH, 10D, AS","{'Madi': Hand([Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""A"", ""Spades"")])}",27
28,12,['Madi'],['Callie Calls'],"7C, 10H, JS, QH, 7H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts"")])}",28
29,12,['Madi'],['Callie Calls'],"10C, KS, AC, QC, QD","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",29
30,12,['Madi'],['Callie Calls'],"9S, AH, 9D, QC, JD","{'Madi': Hand([Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds"")])}",30
