,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,393,['Sophia'],['Callie Calls'],"4S, 5D, 6S, 7H, 8D","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Spades""), Card(""5"", ""Diamonds""), Card(""6"", ""Spades""), Card(""7"", ""Hearts""), Card(""8"", ""Diamonds"")])}",0
1,89,['Sophia'],['Callie Calls'],"5S, 9C, 8D, 6D, 7S","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""7"", ""Spades"")])}",1
2,44,['Michelle'],['Robbie Random'],"5H, 5C, 10D, 9S, AS","{'Michelle': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Spades"")])}",2
3,129,['Sophia'],['Callie Calls'],"JD, 5H, 7C, QH, 4S","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""4"", ""Spades"")])}",3
4,270,['Sophia'],['Callie Calls'],"5D, 9S, 8C, 10C, JD","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""J"", ""Diamonds"")])}",4
5,28,['Sophia'],['Callie Calls'],"9C, QC, AC, AD, JD","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"8H, 9S, 10D, 7S, 6C","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Diamonds""), Card(""7"", ""Spades""), Card(""6"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"6D, AC, 2H, 6S, 2S","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""2"", ""Hearts""), Card(""6"", ""Spades""), Card(""2"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"8D, 7D, 6S, 4D, 5D","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades""), Card(""4"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"3S, AC, 3C, 8S, 8H","{'Sophia': Hand([Card(""3"", ""Spades""), Card(""A"", ""Clubs""), Card(""3"", ""Clubs""), Card(""8"", ""Spades""), Card(""8"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"9C, JS, KS, KH, AH","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"8H, 3C, 3S, JC, 10C","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Clubs"")])}",11
12,6,['Sophia'],['Callie Calls'],"9S, AH, KS, 10H, JD","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"JH, 7H, 10S, QH, KD","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"10S, KS, 10D, KH, QC","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"KC, 7C, 7H, AS, 8S","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Spades""), Card(""8"", ""Spades"")])}",15
16,6,['Sophia'],['Callie Calls'],"5H, AC, 5D, KC, AD","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""A"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds"")])}",16
17,6,['Sophia'],['Callie Calls'],"8D, 9C, 10C, JH, 7D","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Clubs""), Card(""J"", ""Hearts""), Card(""7"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"7S, JC, 9D, 7C, AC","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""A"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"6S, AC, 6D, AS, KD","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Spades""), Card(""K"", ""Diamonds"")])}",19
20,6,['Sophia'],['Callie Calls'],"4C, 5S, 8H, KC, 4D","{'Sophia': Hand([Card(""4"", ""Clubs""), Card(""5"", ""Spades""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""4"", ""Diamonds"")])}",20
21,12,['Sophia'],['Callie Calls'],"KS, KH, 10C, 8H, QS","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades"")])}",21
22,12,['Sophia'],['Callie Calls'],"10S, JC, 10H, AH, 7S","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""7"", ""Spades"")])}",22
23,12,['Sophia'],['Callie Calls'],"8S, JC, KD, 9C, QC","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs"")])}",23
24,12,['Sophia'],['Callie Calls'],"QH, 5S, AC, 6H, 9C","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""5"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""9"", ""Clubs"")])}",24
25,12,['Sophia'],['Callie Calls'],"8H, 4S, 4D, KC, JD","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds"")])}",25
26,12,['Sophia'],['Callie Calls'],"8C, 8D, 8S, KC, KH","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts"")])}",26
27,12,['Sophia'],['Callie Calls'],"JC, 10S, KC, 9C, 8H","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Hearts"")])}",27
28,12,['Sophia'],['Callie Calls'],"QD, 6D, JS, 9D, 9C","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""J"", ""Spades""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")])}",28
29,12,['Sophia'],['Callie Calls'],"7C, 10D, KC, AD, 8D","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",29
