,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,384,['Madi'],['Callie Calls'],"3D, JS, 3C, 9H, 9S","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""J"", ""Spades""), Card(""3"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""9"", ""Spades"")])}",0
1,364,['Michelle'],['Robbie Random'],"9H, AS, 9D, 6D, 8S","{'Cody': Hand([Card(""3"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""8"", ""Spades"")]), 'Madi': Hand([Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Spades"")]), 'Michelle': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""8"", ""Spades"")])}",1
2,54,['Madi'],['Callie Calls'],"QC, QD, KC, 10H, AC","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Clubs"")])}",2
3,4,['Madi'],['Callie Calls'],"JH, AC, JC, AH, KH","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Hearts"")])}",3
4,522,['Michelle'],['Robbie Random'],"7C, 7S, 9S, JD, 9D","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""6"", ""Clubs"")]), 'Michelle': Hand([Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",4
5,660,['Madi'],['Callie Calls'],"5H, 5S, QH, KC, 9D","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""Q"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Michelle': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds"")])}",5
6,89,['Madi'],['Callie Calls'],"AH, 9H, 5C, KD, JS","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""5"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"KH, AH, 10C, KS, 10D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"QH, AS, 8C, 8D, JS","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"JC, 9D, JD, QH, 9H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"7D, 7S, 8S, KC, 8H","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Clubs""), Card(""8"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"6S, 8S, 9S, 4C, 7H","{'Madi': Hand([Card(""6"", ""Spades""), Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""4"", ""Clubs""), Card(""7"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"5S, 5D, 10D, 8C, 5C","{'Madi': Hand([Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""5"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"10C, KC, 8C, 3C, 4C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Clubs""), Card(""3"", ""Clubs""), Card(""4"", ""Clubs"")])}",13
14,6,['Madi'],['Callie Calls'],"5C, 8D, JS, 10D, 5S","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""5"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"5S, 5C, JH, 10C, KH","{'Madi': Hand([Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"QH, KH, 6H, 6C, 10S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""10"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"JC, JH, 10S, KD, KH","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"KS, JS, 6S, 6H, QD","{'Madi': Hand([Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",18
19,6,['Madi'],['Callie Calls'],"7D, 5H, 8D, 5C, 8S","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""8"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"AC, 3C, 3S, QD, 8S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"6S, 6C, 6D, 2S, 2C","{'Madi': Hand([Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Clubs"")])}",21
22,12,['Madi'],['Callie Calls'],"6S, QD, KS, 6H, AD","{'Madi': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""6"", ""Hearts""), Card(""A"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"4C, 4D, 5S, 5C, AC","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""A"", ""Clubs"")])}",23
24,12,['Madi'],['Callie Calls'],"KS, 8S, 8C, JH, AS","{'Madi': Hand([Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""A"", ""Spades"")])}",24
25,12,['Madi'],['Callie Calls'],"AD, AS, JH, 8H, QS","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades"")])}",25
26,12,['Madi'],['Callie Calls'],"5H, QC, QH, QD, 5S","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""5"", ""Spades"")])}",26
