,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,530,['Madi'],['Callie Calls'],"10C, 4D, QS, KH, 4C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts"")])}",0
1,202,['Madi'],['Callie Calls'],"6C, AC, 6S, 6D, JC","{'Cody': Hand([Card(""5"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Spades""), Card(""5"", ""Diamonds""), Card(""6"", ""Diamonds"")]), 'Madi': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Clubs""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds""), Card(""J"", ""Clubs"")])}",1
2,103,['Madi'],['Callie Calls'],"AS, 8D, 8H, 4S, 4D","{'Madi': Hand([Card(""A"", ""Spades""), Card(""8"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds"")])}",2
3,18,['Madi'],['Callie Calls'],"6C, KD, 6D, 6S, 2S","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""6"", ""Spades""), Card(""2"", ""Spades"")])}",3
4,3,['Madi'],['Callie Calls'],"6C, 6D, 10D, 10C, KD","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Diamonds"")])}",4
5,3,['Madi'],['Callie Calls'],"10S, 7S, 4C, 4D, KD","{'Madi': Hand([Card(""10"", ""Spades""), Card(""7"", ""Spades""), Card(""4"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",5
6,3,['Madi'],['Callie Calls'],"KD, 3C, AH, 3S, JC","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""A"", ""Hearts""), Card(""3"", ""Spades""), Card(""J"", ""Clubs"")])}",6
7,3,['Madi'],['Callie Calls'],"AD, 9C, 10D, 8H, KH","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"3D, JC, 7D, 3C, 7S","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""7"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"JH, 9C, 8C, 10D, 7D","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"5S, 2H, 6H, 3D, 4D","{'Madi': Hand([Card(""5"", ""Spades""), Card(""2"", ""Hearts""), Card(""6"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"JC, 4C, 10C, 7C, 8C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""4"", ""Clubs""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"JH, 5C, AC, 9S, JS","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""5"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"QC, KD, 10S, JH, QS","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"7S, 10S, 7D, KD, AD","{'Madi': Hand([Card(""7"", ""Spades""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",14
15,6,['Madi'],['Callie Calls'],"JD, QC, 9S, 10H, KH","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"2C, QD, KS, 2S, 9S","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""2"", ""Spades""), Card(""9"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"JD, 8C, 9S, JC, KD","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Diamonds"")])}",17
18,6,['Madi'],['Callie Calls'],"2H, 2C, JH, 2S, JS","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""J"", ""Hearts""), Card(""2"", ""Spades""), Card(""J"", ""Spades"")])}",18
19,6,['Madi'],['Callie Calls'],"JS, AS, 9S, KS, JD","{'Madi': Hand([Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds"")])}",19
20,6,['Madi'],['Callie Calls'],"QH, 2H, AC, 2S, JD","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""2"", ""Hearts""), Card(""A"", ""Clubs""), Card(""2"", ""Spades""), Card(""J"", ""Diamonds"")])}",20
21,12,['Madi'],['Callie Calls'],"KD, 9C, JS, AD, 10C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs"")])}",21
22,12,['Madi'],['Callie Calls'],"KH, AS, 6D, KC, 6H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Spades""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts"")])}",22
23,12,['Madi'],['Callie Calls'],"AC, 5S, 5D, KD, 7D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",23
