,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,377,['Sophia'],['Callie Calls'],"AS, JD, QC, AH, 9C","{'Madi': Hand([Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs"")])}",0
1,373,"['Michelle', 'Sophia']","['Robbie Random', 'Callie Calls']","AD, 10C, 10H, 2S, 10D","{'Cody': Hand([Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""2"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Madi': Hand([Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""2"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Michelle': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""2"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""2"", ""Spades""), Card(""10"", ""Diamonds"")])}",1
2,195,['Sophia'],['Callie Calls'],"10H, 4D, 4S, 9C, 9H","{'Michelle': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts"")])}",2
3,19,['Sophia'],['Callie Calls'],"8C, 7H, 8H, AH, 6C","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""7"", ""Hearts""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""6"", ""Clubs"")])}",3
4,186,['Sophia'],['Callie Calls'],"9H, AD, 9S, 4D, 9D","{'Michelle': Hand([Card(""4"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""4"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""4"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",4
5,11,['Sophia'],['Callie Calls'],"9C, JS, KS, AS, QH","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts"")])}",5
6,6,['Sophia'],['Callie Calls'],"9D, QH, QS, 10D, JC","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"JH, 6D, 5D, JS, 5C","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""J"", ""Spades""), Card(""5"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"KC, 7H, 9H, 9S, JH","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""7"", ""Hearts""), Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"8D, 3C, QS, 3D, 8S","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""Q"", ""Spades""), Card(""3"", ""Diamonds""), Card(""8"", ""Spades"")])}",9
