,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,502,['Madi'],['Callie Calls'],"3D, 7S, 3C, 7H, JH","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""7"", ""Spades""), Card(""3"", ""Clubs""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""8"", ""Hearts""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts"")])}",0
1,141,['Sophia'],['Callie Calls'],"8S, JH, AH, QH, 8D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""3"", ""Hearts""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""8"", ""Diamonds"")])}",1
2,114,['Madi'],['Callie Calls'],"QS, 7C, 7H, 5S, 10C","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts""), Card(""5"", ""Spades""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""A"", ""Spades""), Card(""7"", ""Hearts""), Card(""5"", ""Spades""), Card(""10"", ""Clubs"")])}",2
3,53,['Sophia'],['Callie Calls'],"4D, 6C, 3D, 5C, 2H","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""5"", ""Clubs""), Card(""8"", ""Spades""), Card(""K"", ""Spades"")]), 'Michelle': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""5"", ""Clubs""), Card(""8"", ""Spades""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""2"", ""Hearts"")])}",3
4,6,['Madi'],['Callie Calls'],"KD, AS, 2D, 10D, 2C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Spades""), Card(""2"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""2"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""2"", ""Clubs"")])}",4
5,5,['Madi'],['Callie Calls'],"2D, 2C, 7S, 7C, AD","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds"")])}",5
6,6,['Sophia'],['Callie Calls'],"AD, 4D, 4H, 7D, AC","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""A"", ""Clubs"")])}",6
7,6,['Sophia'],['Callie Calls'],"9H, 2D, 9D, 2C, 10D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""5"", ""Spades""), Card(""2"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""2"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""10"", ""Diamonds"")])}",7
8,5,['Sophia'],['Callie Calls'],"JS, 2D, 2C, AS, JH","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Hearts"")])}",8
9,4,['Sophia'],['Callie Calls'],"KH, KD, 5C, 5S, AS","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Spades"")])}",9
10,6,['Madi'],['Callie Calls'],"8H, AC, 8D, 8C, JD","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds"")])}",10
11,10,['Sophia'],['Callie Calls'],"8H, 8C, 5D, AH, 8D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds"")])}",11
12,8,['Madi'],['Callie Calls'],"JC, 7S, 10D, 8C, 9H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Clubs"")])}",12
13,12,['Sophia'],['Callie Calls'],"8H, KH, 8S, 7H, 8D","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Hearts""), Card(""8"", ""Diamonds"")])}",13
14,10,['Madi'],['Callie Calls'],"KD, KH, QS, 8H, AH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts"")])}",14
15,8,['Madi'],['Callie Calls'],"3S, KD, AD, 3H, 8C","{'Madi': Hand([Card(""3"", ""Spades""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs"")])}",15
16,12,['Madi'],['Callie Calls'],"9C, 10H, 9H, AH, 10D","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds"")])}",16
