,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,692,['Sophia'],['Callie Calls'],"2S, JH, JS, 2H, 8C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Clubs"")]), 'Michelle': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""2"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""2"", ""Hearts""), Card(""8"", ""Clubs"")])}",0
1,15,['Sophia'],['Callie Calls'],"6D, QS, JH, JC, 6S","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Spades"")])}",1
2,3,['Sophia'],['Callie Calls'],"5D, 7S, AH, KC, 6S","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""7"", ""Spades""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs""), Card(""6"", ""Spades"")])}",2
3,3,['Sophia'],['Callie Calls'],"QC, KC, 10S, 10D, KS","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Spades"")])}",3
4,3,['Sophia'],['Callie Calls'],"KS, 8H, AC, 10S, AS","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"7D, 7H, 7C, QH, JC","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"AD, JH, 9D, KH, KS","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""K"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"QS, 8C, 9D, QD, AD","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"KH, QD, 6H, 6S, AD","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""A"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"AS, QH, JS, 6D, 6C","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Hearts""), Card(""J"", ""Spades""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs"")])}",9
