,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,628,['Madi'],['Callie Calls'],"6C, KH, KS, 6H, KD","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""6"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""7"", ""Spades""), Card(""K"", ""Spades""), Card(""K"", ""Diamonds"")])}",0
1,37,['Cody'],['Robbie Random'],"QH, AS, 8H, 10D, 7C","{'Cody': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""7"", ""Clubs"")]), 'Madi': Hand([Card(""6"", ""Clubs""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""7"", ""Clubs"")])}",1
2,21,['Madi'],['Callie Calls'],"KD, 2D, QD, 2S, QC","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""2"", ""Spades""), Card(""Q"", ""Clubs"")])}",2
3,140,['Cody'],['Robbie Random'],"QS, QH, 9H, 8C, AS","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs""), Card(""A"", ""Spades"")]), 'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Spades"")])}",3
4,3,['Madi'],['Callie Calls'],"4H, 5C, 7H, 8C, 6H","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""5"", ""Clubs""), Card(""7"", ""Hearts""), Card(""8"", ""Clubs""), Card(""6"", ""Hearts"")])}",4
5,226,['Madi'],['Callie Calls'],"9S, 5S, 10D, KC, 5H","{'Madi': Hand([Card(""9"", ""Spades""), Card(""5"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Hearts"")])}",5
6,6,['Madi'],['Callie Calls'],"JH, 7H, 10D, 6S, QD","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""6"", ""Spades""), Card(""Q"", ""Diamonds"")])}",6
7,41,['Madi'],['Callie Calls'],"KH, 4S, QH, JC, 4H","{'Cody': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Spades"")]), 'Madi': Hand([Card(""K"", ""Hearts""), Card(""4"", ""Spades""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""4"", ""Hearts"")])}",7
8,12,['Cody'],['Robbie Random'],"4C, 10D, JC, 9C, 4H","{'Cody': Hand([Card(""4"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""4"", ""Hearts"")]), 'Madi': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Spades""), Card(""9"", ""Clubs"")])}",8
9,26,['Madi'],['Callie Calls'],"8D, 8C, 8H, 3S, 3H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""8"", ""Hearts""), Card(""3"", ""Spades""), Card(""3"", ""Hearts"")])}",9
