,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,579,['Sophia'],['Callie Calls'],"7S, AC, 7D, AS, 7H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Hearts"")]), 'Steve': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""A"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Hearts"")])}",0
1,25,['Sophia'],['Callie Calls'],"QD, AD, QC, AH, 8H","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts"")])}",1
2,6,['Sophia'],['Callie Calls'],"8S, JD, 10H, 9S, QH","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts"")])}",2
3,169,['Sophia'],['Callie Calls'],"10C, 8D, QS, 5D, 9H","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""5"", ""Diamonds""), Card(""9"", ""Hearts"")])}",3
4,12,['Sophia'],['Callie Calls'],"7D, 3D, QD, 9D, 5D","{'Michelle': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",4
5,28,['Sophia'],['Callie Calls'],"10D, AD, 5D, 9D, 3D","{'Cody': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Michelle': Hand([Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""3"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"AS, QH, 8S, 9D, 8C","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"6D, 6H, JS, JD, KS","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"KS, JS, AC, QH, AS","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"QS, 6H, 6S, 2S, 2D","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"KC, 9C, 10D, JH, 4C","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""4"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"10D, AD, JD, KD, 5D","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",11
