,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,671,['Michelle'],['Robbie Random'],"2C, 2H, 10D, 9D, KH","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""4"", ""Hearts"")]), 'Michelle': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""5"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts"")])}",0
1,149,['Michelle'],['Robbie Random'],"JS, QS, KS, 7S, AS","{'Michelle': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""7"", ""Spades""), Card(""A"", ""Spades"")])}",1
2,15,['Beezie'],['Ricky Raise'],"JS, 6S, 9C, 9H, AH","{'Beezie': Hand([Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts"")])}",2
3,19,['Beezie'],['Ricky Raise'],"QC, 7D, 6D, 8H, 6C","{'Beezie': Hand([Card(""Q"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs"")])}",3
4,703,['Michelle'],['Robbie Random'],"AH, 6H, 9H, JH, 8H","{'Michelle': Hand([Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts"")])}",4
5,3,['Michelle'],['Robbie Random'],"QD, AS, JC, 8C, JH","{'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts"")])}",5
6,3,['Bob'],['Floyd Folds'],"6C, 2C, 7C, QC, AC","{'Bob': Hand([Card(""6"", ""Clubs""), Card(""2"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs"")])}",6
7,3,['Michelle'],['Robbie Random'],"QC, JH, 7S, JC, 7H","{'Michelle': Hand([Card(""Q"", ""Clubs""), Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Hearts"")])}",7
8,3,['Bob'],['Floyd Folds'],"6S, QH, 5D, KC, 6D","{'Bob': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""6"", ""Diamonds"")])}",8
9,3,['Michelle'],['Robbie Random'],"QD, 8H, 6C, 8D, 6S","{'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Spades"")])}",9
10,390,['Michelle'],['Robbie Random'],"7H, 7C, 7S, 3H, KH","{'Michelle': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""3"", ""Hearts""), Card(""K"", ""Hearts"")])}",10
11,6,['Michelle'],['Robbie Random'],"AC, AS, AD, 10S, 3C","{'Michelle': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Spades""), Card(""3"", ""Clubs"")])}",11
12,97,['Michelle'],['Robbie Random'],"5S, QS, KH, JC, 5H","{'Michelle': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""5"", ""Hearts"")])}",12
