,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,360,['Madi'],['Callie Calls'],"AS, JH, JS, JC, KC","{'Madi': Hand([Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs"")])}",0
1,199,['Sophia'],['Callie Calls'],"4H, 6H, AH, QH, 7H","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""6"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts"")])}",1
2,89,['Sophia'],['Callie Calls'],"3S, 5D, 5S, 3C, 3H","{'Madi': Hand([Card(""2"", ""Spades""), Card(""3"", ""Clubs""), Card(""J"", ""Spades""), Card(""2"", ""Diamonds""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts"")])}",2
3,60,['Madi'],['Callie Calls'],"9H, QC, AC, 9C, AH","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts"")])}",3
4,96,['Cody'],['Robbie Random'],"KC, QS, 4S, JH, QC","{'Cody': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Spades""), Card(""4"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs"")]), 'Madi': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""4"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs"")])}",4
5,5,['Sophia'],['Callie Calls'],"8S, 8D, 6D, KD, KS","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Spades"")])}",5
6,28,['Sophia'],['Callie Calls'],"3C, AD, 8C, 3D, AS","{'Madi': Hand([Card(""J"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""A"", ""Spades"")])}",6
7,9,['Madi'],['Callie Calls'],"4D, 9C, AH, 9S, 4C","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Spades""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Spades""), Card(""6"", ""Clubs""), Card(""4"", ""Clubs"")])}",7
8,126,['Madi'],['Callie Calls'],"KC, 8H, 6C, 7D, QH","{'Cody': Hand([Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Madi': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",8
9,108,['Sophia'],['Callie Calls'],"9D, KS, AS, AH, QD","{'Madi': Hand([Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",9
10,6,['Madi'],['Callie Calls'],"8H, JC, AD, AH, 8D","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds"")])}",10
11,135,['Cody'],['Robbie Random'],"8D, 9D, 5C, 5S, 8C","{'Cody': Hand([Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""8"", ""Clubs"")]), 'Madi': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""8"", ""Clubs"")])}",11
12,360,['Madi'],['Callie Calls'],"QH, KH, 9H, AS, JD","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds"")])}",12
