,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,494,['Michelle'],['Robbie Random'],"KD, KH, KC, JD, 2H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds"")]), 'Michelle': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""2"", ""Hearts"")])}",0
1,52,['Beezie'],['Ricky Raise'],"JD, 6D, 7C, 6H, JH","{'Beezie': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts"")])}",1
2,384,['Michelle'],['Robbie Random'],"3S, AD, 6D, QC, 3H","{'Michelle': Hand([Card(""3"", ""Spades""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""3"", ""Hearts"")])}",2
3,171,['Michelle'],['Robbie Random'],"5D, 9C, KS, QD, 5S","{'Michelle': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""5"", ""Spades"")])}",3
4,3,['Michelle'],['Robbie Random'],"10S, QH, 10D, AS, AC","{'Michelle': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""A"", ""Clubs"")])}",4
5,4,['Michelle'],['Robbie Random'],"JH, 6S, KD, QC, 7H","{'Michelle': Hand([Card(""J"", ""Hearts""), Card(""6"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Hearts"")])}",5
6,3,['Michelle'],['Robbie Random'],"AH, KD, 3H, QD, 3S","{'Michelle': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""3"", ""Spades"")])}",6
7,3,['Michelle'],['Robbie Random'],"10C, 5D, 8D, 7D, AC","{'Michelle': Hand([Card(""10"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""A"", ""Clubs"")])}",7
8,3,['Michelle'],['Robbie Random'],"AH, 5D, 5C, 3S, 3D","{'Michelle': Hand([Card(""A"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""3"", ""Spades""), Card(""3"", ""Diamonds"")])}",8
9,3,['Michelle'],['Robbie Random'],"7D, AC, QH, 10C, 8S","{'Michelle': Hand([Card(""7"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Spades"")])}",9
