,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,443,['Madi'],['Callie Calls'],"10H, 9S, 10C, KS, 8S","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Spades"")])}",0
1,291,['Steve'],['Robbie Random'],"3H, 6H, JC, 3S, 6C","{'Cody': Hand([Card(""4"", ""Clubs""), Card(""9"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs"")]), 'Madi': Hand([Card(""8"", ""Clubs""), Card(""5"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs"")]), 'Steve': Hand([Card(""3"", ""Hearts""), Card(""6"", ""Hearts""), Card(""J"", ""Clubs""), Card(""3"", ""Spades""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs"")])}",1
2,255,['Madi'],['Callie Calls'],"4C, 5S, 6D, 7H, 3C","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""5"", ""Spades""), Card(""6"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""3"", ""Clubs"")])}",2
3,37,['Cody'],['Robbie Random'],"9H, 10S, 7H, 8H, 9D","{'Cody': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Spades""), Card(""7"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Madi': Hand([Card(""Q"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds"")])}",3
4,303,['Madi'],['Callie Calls'],"2S, 9H, 2D, QC, 9D","{'Madi': Hand([Card(""2"", ""Spades""), Card(""9"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds"")])}",4
5,3,['Madi'],['Callie Calls'],"AS, QS, 10H, 8S, AH","{'Madi': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Spades""), Card(""A"", ""Hearts"")])}",5
6,72,['Madi'],['Callie Calls'],"QC, 5D, 5S, JD, 5C","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs"")])}",6
7,3,['Madi'],['Callie Calls'],"JH, KC, 7S, 7H, 9S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""9"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"8C, JC, 8H, 7H, 7D","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""8"", ""Hearts""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds"")])}",8
9,4,['Madi'],['Callie Calls'],"7H, 9C, 6H, 5C, AH","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""9"", ""Clubs""), Card(""6"", ""Hearts""), Card(""5"", ""Clubs""), Card(""A"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"AH, JD, AD, 9S, 7H","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""7"", ""Hearts"")])}",10
11,12,['Madi'],['Callie Calls'],"3D, 3H, JH, 9S, JS","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"3D, 3C, 2D, 2S, AH","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""A"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"8D, 9H, 7C, 10C, 6H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""7"", ""Clubs""), Card(""10"", ""Clubs""), Card(""6"", ""Hearts"")])}",13
14,6,['Madi'],['Callie Calls'],"QD, 7C, KH, 9D, 5C","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""5"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"AS, 9C, QS, 7C, JC","{'Madi': Hand([Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"6C, AS, 7S, QD, 10H","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""10"", ""Hearts"")])}",16
17,6,['Madi'],['Callie Calls'],"8S, 8D, AD, KS, JC","{'Madi': Hand([Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Clubs"")])}",17
18,6,['Madi'],['Callie Calls'],"QD, 6S, 9D, 8H, AC","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""6"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"3C, 9S, 3S, JS, 8C","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""9"", ""Spades""), Card(""3"", ""Spades""), Card(""J"", ""Spades""), Card(""8"", ""Clubs"")])}",19
20,6,['Madi'],['Callie Calls'],"9D, 8S, KD, 5D, 6D","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""8"", ""Spades""), Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",20
21,12,['Madi'],['Callie Calls'],"4H, 10H, 4C, QS, JC","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""10"", ""Hearts""), Card(""4"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs"")])}",21
