,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,497,['Sophia'],['Callie Calls'],"4D, 4C, KC, QC, 10C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""K"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs"")])}",0
1,113,['Sophia'],['Callie Calls'],"AH, KH, JS, 10H, QD","{'Alice': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",1
2,56,['Sophia'],['Callie Calls'],"8H, AH, 10C, 10S, QS","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Spades"")])}",2
3,71,['Sophia'],['Callie Calls'],"AD, 10D, 10H, QC, QH","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Hearts"")])}",3
4,127,['Sophia'],['Callie Calls'],"QH, 7H, 10S, 10C, 8C","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""7"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Clubs"")])}",4
5,5,['Sophia'],['Callie Calls'],"KS, 9H, JD, 9C, 6D","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""6"", ""Diamonds"")])}",5
6,6,['Sophia'],['Callie Calls'],"9C, JC, JS, 9H, JD","{'Michelle': Hand([Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Diamonds"")])}",6
7,4,['Sophia'],['Callie Calls'],"10H, 3S, 8C, 3C, AD","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""3"", ""Spades""), Card(""8"", ""Clubs""), Card(""3"", ""Clubs""), Card(""A"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"2H, 2C, 2D, KS, 4H","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""K"", ""Spades""), Card(""4"", ""Hearts"")])}",8
9,10,['Sophia'],['Callie Calls'],"7H, KD, AC, KC, 10D","{'Michelle': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""5"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"10H, KC, 8S, KH, 8H","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"7C, KD, KH, 5H, QS","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""5"", ""Hearts""), Card(""Q"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"6C, KC, JH, 5D, 5S","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Clubs""), Card(""J"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades"")])}",12
