,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,695,['Sophia'],['Callie Calls'],"KS, AC, 9H, JC, 7D","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds"")])}",0
1,13,['Sophia'],['Callie Calls'],"8S, 4C, 7C, AH, 4H","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""4"", ""Clubs""), Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""4"", ""Hearts"")])}",1
2,3,['Sophia'],['Callie Calls'],"JH, 6C, QD, JD, 6H","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""6"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""6"", ""Hearts"")])}",2
3,3,['Sophia'],['Callie Calls'],"8C, 10C, 6D, 10H, 6C","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""6"", ""Clubs"")])}",3
4,3,['Sophia'],['Callie Calls'],"9S, 8D, JC, AH, 10C","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Clubs"")])}",4
5,3,['Sophia'],['Callie Calls'],"9C, 10D, 5H, 7C, AS","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Spades"")])}",5
6,3,['Sophia'],['Callie Calls'],"KS, 10H, AD, 6C, 6S","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"AH, 10S, 7D, AD, AS","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"5H, QH, KS, AS, 9H","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"KC, 9C, 10H, 7H, JC","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""7"", ""Hearts""), Card(""J"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"JC, AD, 2C, 2H, KD","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""K"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"5C, AD, JS, JH, 5D","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""5"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"QH, KD, AC, AH, 10C","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Clubs"")])}",12
