,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,448,['Madi'],['Callie Calls'],"10H, 6D, 9C, 7D, 8C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Clubs"")])}",0
1,152,['Sophia'],['Callie Calls'],"QH, 7C, 3D, 3H, JD","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""7"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""J"", ""Diamonds"")])}",1
2,217,['Cody'],['Robbie Random'],"9C, AC, 9H, JH, JS","{'Cody': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Spades"")]), 'Madi': Hand([Card(""2"", ""Hearts""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""2"", ""Clubs"")]), 'Michelle': Hand([Card(""3"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""J"", ""Hearts""), Card(""3"", ""Clubs""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts""), Card(""3"", ""Clubs""), Card(""J"", ""Spades"")])}",2
3,274,['Sophia'],['Callie Calls'],"QC, 4S, 8S, 8D, 4D","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""4"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",3
4,31,['Sophia'],['Callie Calls'],"6C, 4S, 5S, 7S, 8D","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""8"", ""Spades""), Card(""4"", ""Spades""), Card(""7"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""4"", ""Spades""), Card(""5"", ""Spades""), Card(""7"", ""Spades""), Card(""8"", ""Diamonds"")])}",4
5,400,['Madi'],['Callie Calls'],"9D, 10D, KD, KC, JC","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Clubs"")])}",5
6,4,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","JH, AS, 6H, 6S, 10S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""10"", ""Spades"")])}",6
7,6,['Sophia'],['Callie Calls'],"9C, 8C, 9H, AC, AH","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts"")])}",7
8,5,['Madi'],['Callie Calls'],"KC, AC, KS, KD, KH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts"")])}",8
9,4,['Sophia'],['Callie Calls'],"JD, 8D, AC, JH, KS","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Spades"")])}",9
