,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,667,['Sophia'],['Callie Calls'],"5S, AH, 2H, 5H, 2S","{'Cody': Hand([Card(""5"", ""Clubs""), Card(""2"", ""Hearts""), Card(""5"", ""Hearts""), Card(""2"", ""Spades""), Card(""K"", ""Diamonds"")]), 'Madi': Hand([Card(""3"", ""Hearts""), Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""3"", ""Diamonds""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""A"", ""Hearts""), Card(""2"", ""Hearts""), Card(""5"", ""Hearts""), Card(""2"", ""Spades"")])}",0
1,47,['Sophia'],['Callie Calls'],"AH, 5C, 6D, 10S, 8S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""5"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Spades"")])}",1
2,20,['Sophia'],['Callie Calls'],"8S, JC, 7H, JD, KD","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",2
3,3,['Sophia'],['Callie Calls'],"JH, 9H, QH, 9C, 8C","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs"")])}",3
4,3,['Sophia'],['Callie Calls'],"7H, 4C, 7D, JD, AS","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""4"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""A"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"6S, AC, 6C, 10C, JH","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Clubs""), Card(""10"", ""Clubs""), Card(""J"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"JD, KC, QS, KD, 6H","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""6"", ""Hearts"")])}",6
7,3,['Sophia'],['Callie Calls'],"10H, 2S, QC, AS, 2D","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""2"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""2"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"10H, 9C, 8D, 9D, 8C","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"JC, KC, JD, 7D, 7H","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"9D, KH, 5C, AD, 5H","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""5"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""5"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"6S, KH, 6H, 7C, QH","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""K"", ""Hearts""), Card(""6"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"10D, 8H, 9D, 9C, QH","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"9S, 6S, QC, JH, 10S","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""6"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"AS, 4H, AD, 4D, AC","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""4"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""A"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"9D, 5S, JD, 6H, 10S","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""5"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""10"", ""Spades"")])}",15
16,6,['Sophia'],['Callie Calls'],"8D, 7D, QH, 8S, 9S","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"9C, AH, QS, AD, 7H","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds""), Card(""7"", ""Hearts"")])}",17
18,6,['Sophia'],['Callie Calls'],"JH, 9H, 7C, AS, AD","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds"")])}",18
