,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,679,['Cody'],['Robbie Random'],"KS, 9D, 6C, AC, KC","{'Cody': Hand([Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Madi': Hand([Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""5"", ""Hearts"")]), 'Steve': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""5"", ""Hearts"")])}",0
1,15,['Alice'],['Ricky Raise'],"8H, AD, 7H, 5D, JH","{'Alice': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""J"", ""Hearts"")])}",1
2,20,['Cody'],['Robbie Random'],"QS, AC, JD, KH, AS","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Spades"")])}",2
3,624,['Michelle'],['Robbie Random'],"AS, JD, 7C, 8C, 8S","{'Michelle': Hand([Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""8"", ""Spades"")])}",3
4,56,['Michelle'],['Robbie Random'],"QS, 3D, 3S, 9H, 6C","{'Michelle': Hand([Card(""Q"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""9"", ""Hearts""), Card(""6"", ""Clubs"")])}",4
5,4,['Cody'],['Robbie Random'],"8C, 7S, 9D, 6S, 5H","{'Cody': Hand([Card(""8"", ""Clubs""), Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""6"", ""Spades""), Card(""5"", ""Hearts"")])}",5
6,208,['Cody'],['Robbie Random'],"AD, JH, KC, 4S, 7S","{'Cody': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""4"", ""Spades""), Card(""7"", ""Spades"")])}",6
7,427,['Cody'],['Robbie Random'],"JD, 10D, 9S, 9D, 7D","{'Cody': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",7
8,405,['Cody'],['Robbie Random'],"2D, 2S, 7H, QD, 8S","{'Cody': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""7"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades"")])}",8
9,550,['Cody'],['Robbie Random'],"10H, AC, 9D, KC, 8D","{'Cody': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds"")])}",9
