,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,591,['Sophia'],['Callie Calls'],"QC, 5D, AC, JD, 5C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Spades""), Card(""J"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Michelle': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs"")])}",0
1,197,['Sophia'],['Callie Calls'],"QS, 4D, KS, 5C, 4H","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""4"", ""Diamonds""), Card(""K"", ""Spades""), Card(""5"", ""Clubs""), Card(""4"", ""Hearts"")])}",1
2,21,['Sophia'],['Callie Calls'],"5D, JC, QC, 10H, 5H","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""5"", ""Hearts"")])}",2
3,3,['Sophia'],['Callie Calls'],"10S, 9C, JD, AH, JH","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts"")])}",3
4,3,['Sophia'],['Callie Calls'],"KS, 4H, AH, 10D, 4C","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""4"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""4"", ""Clubs"")])}",4
5,3,['Sophia'],['Callie Calls'],"7S, 9D, KD, KC, 9S","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Spades"")])}",5
6,3,['Sophia'],['Callie Calls'],"10D, 7D, 7C, JD, 10C","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"AC, 10S, AH, 9H, KC","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""K"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"10D, 10S, 10H, QH, KC","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""K"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"KS, KH, 3C, 3D, KD","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""3"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"5S, AH, 10D, JH, 7C","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"4S, 10C, 8H, 10S, 4C","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Hearts""), Card(""10"", ""Spades""), Card(""4"", ""Clubs"")])}",11
12,6,['Sophia'],['Callie Calls'],"JC, AD, 4S, 4D, AH","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""A"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"JH, 7D, QD, 8D, 6C","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""6"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"QS, KD, KH, AC, AH","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts"")])}",14
15,6,['Sophia'],['Callie Calls'],"6D, JD, 9C, AH, KC","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"5D, AD, 5H, 5C, 10C","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Clubs""), Card(""10"", ""Clubs"")])}",16
17,6,['Sophia'],['Callie Calls'],"JD, AC, KS, AD, QD","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"4H, 10D, 10S, 4D, KC","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""4"", ""Diamonds""), Card(""K"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"2S, 7D, KD, QC, 2H","{'Sophia': Hand([Card(""2"", ""Spades""), Card(""7"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""2"", ""Hearts"")])}",19
