,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,562,['Steve'],['Robbie Random'],"KS, JH, 8H, KD, AC","{'Madi': Hand([Card(""7"", ""Spades""), Card(""8"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Clubs"")]), 'Steve': Hand([Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Clubs"")])}",0
1,57,['Beezie'],['Ricky Raise'],"9D, AH, AS, 9C, AD","{'Beezie': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds"")])}",1
2,96,['Beezie'],['Ricky Raise'],"QH, 5D, JS, AH, KS","{'Beezie': Hand([Card(""Q"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""K"", ""Spades"")])}",2
3,526,['Cody'],['Robbie Random'],"QC, AS, 7S, AD, 6C","{'Cody': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""A"", ""Diamonds""), Card(""6"", ""Clubs"")])}",3
4,340,['Cody'],['Robbie Random'],"5H, 5D, QH, QD, QC","{'Cody': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",4
5,11,['Beezie'],['Ricky Raise'],"AS, 10S, QH, 5D, JS","{'Beezie': Hand([Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""J"", ""Spades"")])}",5
6,200,['Steve'],['Robbie Random'],"JC, 6C, AS, 7C, AH","{'Steve': Hand([Card(""J"", ""Clubs""), Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Hearts"")])}",6
7,45,['Cody'],['Robbie Random'],"10C, 9D, JC, 5D, 8H","{'Cody': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""8"", ""Hearts"")])}",7
8,435,['Cody'],['Robbie Random'],"QD, 8S, 10H, KD, 10D","{'Cody': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",8
9,186,['Steve'],['Robbie Random'],"AD, 5D, KS, 9S, 5H","{'Steve': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Spades""), Card(""5"", ""Hearts"")])}",9
