,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,450,['Madi'],['Callie Calls'],"KS, 8S, 10D, KC, 7S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""7"", ""Spades"")])}",0
1,329,['Madi'],['Callie Calls'],"8C, 7H, JD, 8S, JC","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""J"", ""Clubs"")]), 'Steve': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""3"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""3"", ""Diamonds""), Card(""J"", ""Clubs"")])}",1
2,14,['Madi'],['Callie Calls'],"QD, 5D, KD, 9D, JD","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",2
3,5,['Madi'],['Callie Calls'],"6H, 6C, 6D, 9C, 7S","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Spades"")]), 'Michelle': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Spades"")])}",3
4,3,['Madi'],['Callie Calls'],"AD, 3D, 3S, 10C, AH","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Hearts"")])}",4
5,3,['Madi'],['Callie Calls'],"5S, 2H, 3C, 4H, AH","{'Madi': Hand([Card(""5"", ""Spades""), Card(""2"", ""Hearts""), Card(""3"", ""Clubs""), Card(""4"", ""Hearts""), Card(""A"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"6H, 7C, 6D, 7D, QS","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""7"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"JH, KH, 2H, 9H, 3H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Hearts""), Card(""2"", ""Hearts""), Card(""9"", ""Hearts""), Card(""3"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"QD, AH, JC, 7H, AS","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"6H, 8C, 7C, 9S, 5C","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""8"", ""Clubs""), Card(""7"", ""Clubs""), Card(""9"", ""Spades""), Card(""5"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"9C, 6H, KC, 5D, AD","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""6"", ""Hearts""), Card(""K"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"QS, 6C, AS, 9C, 7H","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"7C, 10S, 6D, 6C, JS","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Spades""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""J"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"4H, AC, 7D, 9C, 10S","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""A"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"AH, AS, JH, KS, QH","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"8S, JS, 9D, AD, 10C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"9S, 8D, 10H, 10S, 8S","{'Madi': Hand([Card(""9"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"KH, 7D, 7S, QS, 10H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"KS, KD, 9D, 10S, 8C","{'Madi': Hand([Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"QD, 8C, AH, KH, 6S","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Hearts""), Card(""6"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"QD, 7C, 9C, 10D, KC","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs"")])}",20
21,12,['Madi'],['Callie Calls'],"QS, 7S, AS, 4S, 8S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Spades""), Card(""A"", ""Spades""), Card(""4"", ""Spades""), Card(""8"", ""Spades"")])}",21
22,12,['Madi'],['Callie Calls'],"4S, KC, 4D, KD, QH","{'Madi': Hand([Card(""4"", ""Spades""), Card(""K"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",22
23,12,['Madi'],['Callie Calls'],"9H, 6D, 6S, 9C, AH","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""6"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts"")])}",23
24,12,['Madi'],['Callie Calls'],"4H, 4S, 7H, 7S, QH","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Spades""), Card(""Q"", ""Hearts"")])}",24
25,12,['Madi'],['Callie Calls'],"4D, 4H, JH, 4S, AH","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""J"", ""Hearts""), Card(""4"", ""Spades""), Card(""A"", ""Hearts"")])}",25
26,12,['Madi'],['Callie Calls'],"10H, 6D, 9D, 9S, 8S","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""8"", ""Spades"")])}",26
27,12,['Madi'],['Callie Calls'],"QD, KD, JD, 10C, KH","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts"")])}",27
28,12,['Madi'],['Callie Calls'],"2H, 2S, KH, QS, 2C","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Spades""), Card(""2"", ""Clubs"")])}",28
29,12,['Madi'],['Callie Calls'],"QH, KH, 10H, 5H, 6H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""5"", ""Hearts""), Card(""6"", ""Hearts"")])}",29
