,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,423,['Madi'],['Callie Calls'],"QH, KS, QC, KC, AD","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Michelle': Hand([Card(""7"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds"")])}",0
1,84,['Madi'],['Callie Calls'],"3H, 3D, JS, AH, AS","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""A"", ""Spades"")])}",1
2,299,['Cody'],['Robbie Random'],"KD, AD, JC, KS, 9C","{'Cody': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Clubs"")]), 'Madi': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Clubs"")])}",2
3,33,['Madi'],['Callie Calls'],"QH, QD, 7C, AS, 7S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Spades"")])}",3
4,14,['Madi'],['Callie Calls'],"QH, 10C, 9D, KS, KH","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Hearts"")])}",4
5,411,['Madi'],['Callie Calls'],"KD, 9D, 9C, AH, 8C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Clubs"")])}",5
6,5,['Madi'],['Callie Calls'],"8H, QC, 5C, 9C, KH","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""5"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Hearts"")])}",6
7,4,['Madi'],['Callie Calls'],"6C, AH, 5H, 5S, 6S","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""6"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"9H, 10C, AS, 8H, 10D","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"9H, JD, QS, KC, 10H","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts"")])}",9
