,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,642,['Madi'],['Callie Calls'],"9D, 9C, QC, 6S, 6C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""6"", ""Spades""), Card(""6"", ""Clubs"")]), 'Steve': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Clubs"")])}",0
1,47,['Madi'],['Callie Calls'],"KD, 8H, 9C, JS, JH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""J"", ""Hearts"")])}",1
2,10,['Madi'],['Callie Calls'],"QD, 10D, 4D, 4H, KH","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""K"", ""Hearts"")])}",2
3,49,['Madi'],['Callie Calls'],"7C, 3C, 3H, JC, 7H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Hearts"")])}",3
4,11,['Madi'],['Callie Calls'],"4S, 7H, 7C, 4D, 4C","{'Madi': Hand([Card(""4"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs"")])}",4
5,3,['Madi'],['Callie Calls'],"KS, 7H, 7C, KD, KH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""K"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"8H, AC, 4D, 4H, 7S","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""7"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"8S, 6S, 6D, 6H, 6C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"8D, 6C, KD, 6D, 9H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""9"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"2D, 9C, JH, 9H, 2H","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Hearts""), Card(""2"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"KD, KS, AD, QS, QH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"KH, QD, 6S, 10H, 6H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""6"", ""Spades""), Card(""10"", ""Hearts""), Card(""6"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"10H, AD, KS, KC, QC","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""Q"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"QS, AH, 10H, 10S, AD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"10D, 8H, AD, 4H, JC","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""J"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"QD, 7S, 9S, QH, 7H","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"7D, 5C, AC, KD, 6C","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""6"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"AH, 5S, AD, 5H, 5C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""5"", ""Spades""), Card(""A"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Clubs"")])}",17
