,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,265,['Sophia'],['Callie Calls'],"AS, 2D, 2C, 5D, 5H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts"")])}",0
1,170,['Madi'],['Callie Calls'],"6H, 10H, 6S, 8S, JC","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""6"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Clubs"")])}",1
2,359,['Sophia'],['Callie Calls'],"QH, 3C, 10S, 3D, KD","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""2"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Steve': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""3"", ""Clubs""), Card(""10"", ""Spades""), Card(""3"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",2
3,193,['Sophia'],['Callie Calls'],"10H, 4S, 4H, JC, JS","{'Madi': Hand([Card(""8"", ""Spades""), Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""J"", ""Clubs""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""J"", ""Clubs""), Card(""J"", ""Spades"")])}",3
4,38,['Madi'],['Callie Calls'],"8C, 6D, JS, 7H, 6S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Hearts""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""7"", ""Hearts""), Card(""6"", ""Spades"")])}",4
5,13,['Sophia'],['Callie Calls'],"10H, 7H, QH, 9H, AH","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""7"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts"")])}",5
6,5,['Madi'],['Callie Calls'],"QS, JC, QD, JD, 8H","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts"")])}",6
7,6,['Madi'],['Callie Calls'],"6C, QS, 6H, 7C, QC","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Spades""), Card(""6"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",7
8,5,['Sophia'],['Callie Calls'],"10C, 9C, 4C, 2C, 6C","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""4"", ""Clubs""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Clubs""), Card(""4"", ""Clubs""), Card(""2"", ""Clubs""), Card(""6"", ""Clubs"")])}",8
9,4,['Madi'],['Callie Calls'],"10S, 8S, 6H, 7H, 9H","{'Madi': Hand([Card(""10"", ""Spades""), Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""7"", ""Hearts""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""4"", ""Spades""), Card(""9"", ""Hearts"")])}",9
10,6,['Sophia'],['Callie Calls'],"4C, 10S, 4H, 8S, QS","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""10"", ""Spades""), Card(""4"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Spades"")])}",10
11,10,['Sophia'],['Callie Calls'],"AS, 6H, 7D, 9H, AD","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""6"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""6"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds"")])}",11
