,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,573,['Steve'],['Robbie Random'],"8S, QS, 4S, 8H, 8D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Steve': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Spades""), Card(""4"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds"")])}",0
1,151,['Alice'],['Ricky Raise'],"AC, QH, 7H, QC, 7S","{'Alice': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""7"", ""Spades"")])}",1
2,224,['Steve'],['Robbie Random'],"5D, 5S, QS, KH, AC","{'Steve': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs"")])}",2
3,3,['Alice'],['Ricky Raise'],"QS, AC, 4D, 8C, 4H","{'Alice': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""4"", ""Hearts"")])}",3
4,15,['Alice'],['Ricky Raise'],"QS, 7D, 9D, KH, AC","{'Alice': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs"")])}",4
5,54,['Alice'],['Ricky Raise'],"10D, JD, 4H, 4C, QH","{'Alice': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""Q"", ""Hearts"")])}",5
6,3,['Alice'],['Ricky Raise'],"7H, KC, KS, 9C, 7C","{'Alice': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Clubs""), Card(""7"", ""Clubs"")])}",6
7,113,['Steve'],['Robbie Random'],"AH, 5D, AC, KS, 5H","{'Steve': Hand([Card(""A"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""5"", ""Hearts"")])}",7
8,5,['Alice'],['Ricky Raise'],"6D, 6S, 10H, 10D, 10C","{'Alice': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs"")])}",8
9,489,['Steve'],['Robbie Random'],"7S, AS, KS, AH, JC","{'Steve': Hand([Card(""7"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs"")])}",9
