,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,573,['Madi'],['Callie Calls'],"JH, KS, 8S, JD, QH","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",0
1,217,['Cody'],['Robbie Random'],"9H, AC, KD, 9S, 10H","{'Cody': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Hearts"")]), 'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds"")])}",1
2,7,"['Madi', 'Steve']","['Callie Calls', 'Robbie Random']","5C, 3C, 4S, 6H, 2S","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""3"", ""Clubs""), Card(""4"", ""Spades""), Card(""6"", ""Hearts""), Card(""2"", ""Spades"")]), 'Steve': Hand([Card(""5"", ""Spades""), Card(""3"", ""Clubs""), Card(""4"", ""Spades""), Card(""6"", ""Hearts""), Card(""2"", ""Spades"")])}",2
3,6,['Madi'],['Callie Calls'],"6S, 10D, AH, AS, JH","{'Madi': Hand([Card(""6"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Hearts"")])}",3
4,32,['Madi'],['Callie Calls'],"JC, 10C, 7S, 7C, AH","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Hearts"")])}",4
5,219,['Madi'],['Callie Calls'],"10C, 5D, 5C, JC, KC","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs"")])}",5
6,66,['Madi'],['Callie Calls'],"9C, 8D, JS, 9H, KC","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Clubs"")])}",6
7,4,['Steve'],['Robbie Random'],"6S, 6C, 8S, AS, 10D","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""6"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Steve': Hand([Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds"")])}",7
8,10,['Madi'],['Callie Calls'],"9D, 10S, KS, JH, 6S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""6"", ""Spades"")])}",8
9,19,['Madi'],['Callie Calls'],"5S, 4D, 5D, AS, 4H","{'Madi': Hand([Card(""5"", ""Spades""), Card(""4"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""A"", ""Spades""), Card(""4"", ""Hearts"")])}",9
10,88,['Madi'],['Callie Calls'],"3H, QH, 3C, 6D, 3S","{'Cody': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""Q"", ""Hearts""), Card(""3"", ""Clubs""), Card(""3"", ""Spades"")]), 'Madi': Hand([Card(""3"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""3"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""3"", ""Spades"")])}",10
11,16,['Cody'],['Robbie Random'],"QC, 3H, 3D, QH, KD","{'Cody': Hand([Card(""Q"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Madi': Hand([Card(""J"", ""Spades""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds"")])}",11
12,26,['Madi'],['Callie Calls'],"4S, 8H, AD, 4D, 8D","{'Madi': Hand([Card(""4"", ""Spades""), Card(""8"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",12
13,8,['Madi'],['Callie Calls'],"10D, 8C, 5D, QD, 6S","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""6"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"8D, 6S, AH, JC, JH","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""J"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"QD, 9C, 8S, QH, AC","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"8D, 9D, 10S, JH, 7D","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""7"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"4D, 8D, QD, 9D, AH","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""A"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"AC, 2S, 5C, 2H, 5D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""2"", ""Spades""), Card(""5"", ""Clubs""), Card(""2"", ""Hearts""), Card(""5"", ""Diamonds"")])}",18
19,6,['Madi'],['Callie Calls'],"3C, 9D, 3D, JC, 9C","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs"")])}",19
20,6,['Madi'],['Callie Calls'],"10D, AS, 4D, QC, 4S","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""4"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"4H, 8H, 4C, KS, 8S","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""8"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Spades"")])}",21
22,12,['Madi'],['Callie Calls'],"QS, 7C, 2D, 2H, 7S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""7"", ""Spades"")])}",22
23,12,['Madi'],['Callie Calls'],"JC, 8C, QS, 6D, 5C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Clubs""), Card(""Q"", ""Spades""), Card(""6"", ""Diamonds""), Card(""5"", ""Clubs"")])}",23
24,12,['Madi'],['Callie Calls'],"8S, QC, 7H, AS, 5D","{'Madi': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Spades""), Card(""5"", ""Diamonds"")])}",24
25,12,['Madi'],['Callie Calls'],"6C, QS, 6H, 5H, KC","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Spades""), Card(""6"", ""Hearts""), Card(""5"", ""Hearts""), Card(""K"", ""Clubs"")])}",25
26,12,['Madi'],['Callie Calls'],"4S, QS, 4D, QC, 10H","{'Madi': Hand([Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""4"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"7S, 6D, 7C, 7D, 6S","{'Madi': Hand([Card(""7"", ""Spades""), Card(""6"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades"")])}",27
28,12,['Madi'],['Callie Calls'],"7C, 7S, AS, AD, 7H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""7"", ""Hearts"")])}",28
29,12,['Madi'],['Callie Calls'],"QH, AD, 6D, AH, KH","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Hearts"")])}",29
30,12,['Madi'],['Callie Calls'],"2D, 3C, 5D, AC, 4C","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""4"", ""Clubs"")])}",30
