,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,489,['Sophia'],['Callie Calls'],"QD, JH, 4S, JC, 4D","{'Madi': Hand([Card(""7"", ""Spades""), Card(""4"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""4"", ""Spades""), Card(""J"", ""Clubs""), Card(""4"", ""Diamonds"")])}",0
1,73,['Madi'],['Callie Calls'],"9S, 7C, JC, 9D, 8H","{'Madi': Hand([Card(""9"", ""Spades""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts"")])}",1
2,208,['Sophia'],['Callie Calls'],"7D, AC, JD, KS, KC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""5"", ""Hearts""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Clubs"")])}",2
3,42,['Madi'],['Callie Calls'],"8S, 3D, AH, 8H, 3S","{'Madi': Hand([Card(""8"", ""Spades""), Card(""3"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""3"", ""Spades"")]), 'Michelle': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs"")])}",3
4,6,['Sophia'],['Callie Calls'],"5S, QC, QS, KD, KS","{'Madi': Hand([Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""K"", ""Spades"")])}",4
5,113,['Madi'],['Callie Calls'],"4S, QH, 5H, 5D, 4C","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds"")]), 'Madi': Hand([Card(""4"", ""Spades""), Card(""Q"", ""Hearts""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds"")])}",5
6,5,['Madi'],['Callie Calls'],"10D, QD, KS, QH, AC","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""4"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")])}",6
7,6,['Madi'],['Callie Calls'],"QH, AC, 9C, AH, 10D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds"")])}",7
8,5,['Madi'],['Callie Calls'],"4S, 4D, 8C, AD, 8D","{'Madi': Hand([Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",8
9,4,['Madi'],['Callie Calls'],"KD, 6D, 3H, 10C, 3C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""10"", ""Clubs""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""3"", ""Hearts""), Card(""10"", ""Clubs""), Card(""3"", ""Clubs""), Card(""5"", ""Diamonds"")])}",9
