,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,495,['Madi'],['Callie Calls'],"AD, 8S, KS, 8D, 10H","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts"")]), 'Michelle': Hand([Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts"")])}",0
1,115,"['Michelle', 'Sophia']","['Robbie Random', 'Callie Calls']","AS, KC, AH, 8S, 8D","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Michelle': Hand([Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")])}",1
2,61,['Sophia'],['Callie Calls'],"6D, 5S, 6H, 5D, 6C","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""8"", ""Clubs""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""5"", ""Spades""), Card(""6"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""6"", ""Clubs"")])}",2
3,19,['Madi'],['Callie Calls'],"3H, 10C, 10H, 3D, 3C","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",3
4,172,['Sophia'],['Callie Calls'],"QS, AH, 6C, 8D, 6H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Hearts""), Card(""6"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Hearts"")])}",4
5,6,['Madi'],['Callie Calls'],"9D, JD, AD, KH, 9C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Clubs"")])}",5
6,83,['Madi'],['Callie Calls'],"JH, JC, 5S, JS, 5C","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""5"", ""Spades""), Card(""J"", ""Spades""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Spades""), Card(""J"", ""Spades""), Card(""5"", ""Clubs""), Card(""K"", ""Spades"")])}",6
7,9,['Sophia'],['Callie Calls'],"8C, QH, AC, KS, 9D","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds"")])}",7
8,30,['Madi'],['Callie Calls'],"4C, 10S, 9S, 4H, 10D","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""4"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""9"", ""Spades""), Card(""4"", ""Hearts""), Card(""10"", ""Diamonds"")])}",8
9,6,['Madi'],['Callie Calls'],"KS, 10H, JS, AH, 10D","{'Madi': Hand([Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds"")])}",9
10,5,['Sophia'],['Callie Calls'],"7D, KC, QH, 6S, 7C","{'Madi': Hand([Card(""4"", ""Spades""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""4"", ""Clubs""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""6"", ""Spades""), Card(""7"", ""Clubs"")])}",10
11,8,['Madi'],['Callie Calls'],"9D, 9C, 8S, 9S, AH","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""A"", ""Hearts"")])}",11
12,12,['Sophia'],['Callie Calls'],"JH, AH, 2H, 4H, 5H","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""6"", ""Clubs""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""2"", ""Hearts""), Card(""4"", ""Hearts""), Card(""5"", ""Hearts"")])}",12
13,10,['Madi'],['Callie Calls'],"5H, 5S, 2H, 2C, 10C","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""7"", ""Hearts""), Card(""10"", ""Clubs"")])}",13
14,8,['Madi'],['Callie Calls'],"4C, QS, AD, QC, 4D","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Diamonds"")])}",14
15,12,['Madi'],['Callie Calls'],"3S, 7D, 8C, 3H, KD","{'Madi': Hand([Card(""3"", ""Spades""), Card(""7"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""3"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""K"", ""Diamonds"")])}",15
16,10,['Madi'],['Callie Calls'],"JS, 10C, 10D, 10S, 2D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Spades"")])}",16
17,8,['Sophia'],['Callie Calls'],"9C, 8S, QD, 9D, QH","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",17
18,12,['Sophia'],['Callie Calls'],"6C, 7S, 7H, JH, JD","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds"")])}",18
19,10,['Madi'],['Callie Calls'],"QH, 6C, AD, QC, 7D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Diamonds"")])}",19
20,8,['Sophia'],['Callie Calls'],"QC, 9S, JC, 10D, 9D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",20
21,24,['Sophia'],['Callie Calls'],"QH, QC, 5H, 8C, 8D","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""5"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""5"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds"")])}",21
22,20,['Madi'],['Callie Calls'],"8H, 5D, 8D, 5H, 8C","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""8"", ""Clubs"")])}",22
23,16,['Sophia'],['Callie Calls'],"9S, KH, 10S, 7D, 9D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",23
24,24,['Sophia'],['Callie Calls'],"AH, JH, QH, 10D, KH","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts"")])}",24
25,20,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","5C, 4D, 4C, 5H, QC","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""5"", ""Hearts""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""5"", ""Hearts""), Card(""Q"", ""Clubs"")])}",25
26,16,['Madi'],['Callie Calls'],"AD, KS, 9C, 9D, 9H","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts"")])}",26
