,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,489,['Sophia'],['Callie Calls'],"JC, QD, 5S, 5C, JH","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""J"", ""Hearts"")])}",0
1,90,['Sophia'],['Callie Calls'],"5D, 7S, 6S, 9H, QC","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""7"", ""Spades""), Card(""6"", ""Spades""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs"")])}",1
2,217,['Sophia'],['Callie Calls'],"3S, 3H, 7C, 9C, 9S","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Spades"")])}",2
3,22,['Sophia'],['Callie Calls'],"AS, JD, AC, 7C, 7H","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts"")])}",3
4,8,['Sophia'],['Callie Calls'],"QS, JC, 6H, AD, 8D","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",4
5,15,['Sophia'],['Callie Calls'],"KH, 5S, 9D, 9S, JD","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""5"", ""Spades""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"3C, QS, KS, 3D, 9D","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""3"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"JD, JH, 7S, JS, QD","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"8C, 6D, AS, 9D, 8H","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"7S, KH, JS, 7D, 10H","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts"")])}",9
